,territoryName,null_votes,blank_votes,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
LOCAL-110203,Cardosas,9,8,141.0,123.0,125.0,23.0,32.0,10.0,27.0,7.0,22.0,3.0,0.0,1.0,2.0,0.0,4.0,0.0,,0.0,,
LOCAL-110204,São Tiago dos Velhos,13,6,203.0,275.0,161.0,36.0,57.0,11.0,28.0,13.0,14.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,,1.0,,
LOCAL-110301,Alcoentre,26,15,275.0,454.0,367.0,95.0,46.0,35.0,39.0,19.0,61.0,0.0,3.0,5.0,4.0,1.0,10.0,2.0,,4.0,,
LOCAL-110302,Aveiras de Baixo,10,13,177.0,244.0,191.0,36.0,30.0,15.0,27.0,20.0,44.0,0.0,2.0,1.0,2.0,2.0,4.0,1.0,,1.0,,
LOCAL-110303,Aveiras de Cima,38,32,360.0,806.0,621.0,164.0,100.0,34.0,88.0,62.0,173.0,2.0,1.0,4.0,13.0,4.0,26.0,6.0,,4.0,,
LOCAL-110304,Azambuja,43,67,1019.0,1263.0,1072.0,249.0,230.0,63.0,184.0,78.0,247.0,12.0,9.0,3.0,16.0,8.0,24.0,4.0,,8.0,,
LOCAL-110310,"Manique do Intendente, V.N.de S.Pedro e Maçussa",17,14,212.0,400.0,237.0,69.0,37.0,25.0,109.0,27.0,92.0,2.0,1.0,0.0,0.0,1.0,12.0,0.0,,2.0,,
LOCAL-110306,Vale do Paraíso,5,9,111.0,203.0,119.0,40.0,19.0,13.0,18.0,7.0,31.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,,1.0,,
LOCAL-110307,Vila Nova da Rainha,9,6,85.0,181.0,150.0,19.0,16.0,5.0,17.0,7.0,23.0,3.0,1.0,0.0,6.0,3.0,2.0,0.0,,0.0,,
LOCAL-110401,Alguber,6,7,145.0,162.0,112.0,8.0,13.0,11.0,9.0,11.0,15.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,,0.0,,
LOCAL-110411,Cadaval e Pêro Moniz,17,32,589.0,550.0,462.0,94.0,97.0,35.0,79.0,35.0,47.0,8.0,2.0,6.0,8.0,0.0,4.0,2.0,,2.0,,
LOCAL-110412,Lamas e Cercal,33,44,563.0,679.0,446.0,79.0,74.0,31.0,44.0,29.0,46.0,2.0,1.0,1.0,11.0,1.0,3.0,5.0,,3.0,,
LOCAL-110413,Painho e Figueiros,11,26,314.0,322.0,222.0,21.0,24.0,12.0,20.0,15.0,27.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,,0.0,,
LOCAL-110407,Peral,5,9,181.0,150.0,136.0,26.0,13.0,14.0,10.0,20.0,18.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,
LOCAL-110409,Vermelha,11,10,218.0,234.0,151.0,31.0,30.0,23.0,17.0,6.0,14.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,,4.0,,
LOCAL-110410,Vilar,14,14,360.0,226.0,197.0,43.0,39.0,30.0,31.0,23.0,15.0,1.0,3.0,2.0,0.0,3.0,2.0,2.0,,4.0,,
LOCAL-110501,Alcabideche,273,291,7430.0,5461.0,4799.0,934.0,1686.0,505.0,849.0,577.0,552.0,24.0,10.0,23.0,53.0,57.0,89.0,20.0,,34.0,,
LOCAL-110507,Carcavelos e Parede,187,327,9988.0,6279.0,3271.0,1311.0,2297.0,416.0,1909.0,757.0,699.0,77.0,14.0,9.0,33.0,40.0,60.0,21.0,,20.0,,
LOCAL-110508,Cascais e Estoril,274,325,14480.0,6410.0,5601.0,1255.0,2732.0,606.0,1498.0,732.0,648.0,88.0,14.0,7.0,37.0,64.0,62.0,30.0,,27.0,,
LOCAL-110506,São Domingos de Rana,386,511,9376.0,9420.0,6368.0,1703.0,2505.0,537.0,1764.0,1070.0,1115.0,72.0,27.0,24.0,102.0,61.0,122.0,37.0,,38.0,,
LOCAL-110601,Ajuda,90,92,1790.0,2875.0,1163.0,431.0,472.0,86.0,556.0,204.0,430.0,15.0,7.0,9.0,14.0,17.0,35.0,5.0,,12.0,,
LOCAL-110602,Alcântara,73,67,2123.0,2279.0,881.0,448.0,552.0,73.0,640.0,192.0,322.0,12.0,6.0,2.0,10.0,6.0,27.0,13.0,,6.0,,
LOCAL-110654,Alvalade,131,209,8789.0,4817.0,1967.0,1063.0,1947.0,220.0,2119.0,445.0,665.0,63.0,11.0,3.0,17.0,30.0,24.0,12.0,,7.0,,
LOCAL-110655,Areeiro,83,119,5702.0,2686.0,1244.0,701.0,1246.0,154.0,1218.0,276.0,365.0,50.0,10.0,3.0,13.0,18.0,18.0,5.0,,6.0,,
LOCAL-110656,Arroios,121,117,4760.0,3943.0,1486.0,1395.0,1315.0,191.0,1961.0,365.0,761.0,41.0,8.0,4.0,23.0,19.0,41.0,10.0,,14.0,,
LOCAL-110657,Avenidas Novas,97,121,6918.0,2821.0,1415.0,643.0,1525.0,160.0,1219.0,229.0,369.0,41.0,6.0,4.0,11.0,20.0,19.0,10.0,,5.0,,
LOCAL-110607,Beato,77,59,1313.0,2299.0,1128.0,359.0,320.0,84.0,436.0,160.0,361.0,13.0,1.0,2.0,18.0,13.0,25.0,5.0,,7.0,,
LOCAL-110658,Belém,59,77,4779.0,2085.0,940.0,350.0,956.0,118.0,723.0,155.0,301.0,19.0,5.0,0.0,4.0,13.0,17.0,2.0,,3.0,,
LOCAL-110608,Benfica,200,217,6857.0,7048.0,2592.0,1072.0,1544.0,242.0,1764.0,496.0,795.0,61.0,14.0,8.0,32.0,26.0,52.0,15.0,,23.0,,
LOCAL-110659,Campo de Ourique,124,126,4691.0,3260.0,1315.0,723.0,1008.0,139.0,1084.0,264.0,405.0,33.0,6.0,3.0,16.0,12.0,26.0,8.0,,6.0,,
LOCAL-110610,Campolide,88,78,2667.0,2363.0,1096.0,421.0,662.0,91.0,572.0,199.0,304.0,24.0,6.0,6.0,16.0,13.0,30.0,5.0,,6.0,,
LOCAL-110611,Carnide,95,113,3624.0,3270.0,1487.0,465.0,875.0,135.0,759.0,235.0,424.0,30.0,16.0,3.0,15.0,23.0,56.0,7.0,,6.0,,
LOCAL-110660,Estrela,73,87,4860.0,2125.0,1035.0,434.0,811.0,130.0,773.0,178.0,317.0,18.0,8.0,3.0,8.0,14.0,17.0,11.0,,13.0,,
LOCAL-110618,Lumiar,197,290,12280.0,6849.0,2812.0,1180.0,2939.0,319.0,2343.0,567.0,778.0,109.0,20.0,11.0,26.0,34.0,50.0,21.0,,17.0,,
LOCAL-110621,Marvila,261,184,3087.0,7586.0,4782.0,1011.0,813.0,213.0,746.0,531.0,801.0,53.0,21.0,13.0,54.0,38.0,133.0,23.0,,52.0,,
LOCAL-110661,Misericórdia,38,41,1550.0,1555.0,504.0,409.0,328.0,69.0,472.0,121.0,244.0,17.0,2.0,3.0,8.0,8.0,19.0,5.0,,3.0,,
LOCAL-110633,Olivais,172,201,4963.0,6149.0,2903.0,1078.0,1226.0,212.0,1338.0,502.0,877.0,60.0,5.0,7.0,39.0,27.0,73.0,10.0,,25.0,,
LOCAL-110662,Parque das Nações,97,112,4729.0,3200.0,1407.0,462.0,1267.0,142.0,829.0,261.0,330.0,34.0,9.0,4.0,7.0,22.0,22.0,26.0,,3.0,,
LOCAL-110663,Penha de França,148,129,3382.0,4594.0,1965.0,1423.0,848.0,192.0,1516.0,408.0,728.0,44.0,8.0,9.0,24.0,34.0,40.0,12.0,,11.0,,
LOCAL-110664,Santa Clara,126,115,2431.0,3970.0,2464.0,466.0,644.0,123.0,536.0,263.0,379.0,38.0,9.0,10.0,23.0,24.0,40.0,12.0,,13.0,,
LOCAL-110665,Santa Maria Maior,50,42,928.0,1483.0,520.0,330.0,190.0,45.0,335.0,101.0,298.0,7.0,5.0,4.0,7.0,11.0,29.0,1.0,,8.0,,
LOCAL-110666,Santo António,36,63,2679.0,1292.0,569.0,366.0,553.0,74.0,653.0,121.0,225.0,15.0,3.0,3.0,9.0,14.0,10.0,4.0,,4.0,,
LOCAL-110639,São Domingos de Benfica,126,199,9400.0,5178.0,1947.0,918.0,1978.0,222.0,1826.0,486.0,661.0,60.0,9.0,10.0,23.0,30.0,30.0,16.0,,7.0,,
LOCAL-110667,São Vicente,63,52,1534.0,2002.0,785.0,679.0,368.0,79.0,738.0,188.0,415.0,16.0,5.0,2.0,19.0,15.0,16.0,29.0,,5.0,,
LOCAL-110702,Bucelas,35,42,453.0,910.0,579.0,146.0,126.0,40.0,107.0,57.0,217.0,5.0,4.0,4.0,16.0,1.0,19.0,4.0,,2.0,,
LOCAL-110731,"Camarate, Unhos e Apelação",233,158,2314.0,6200.0,4432.0,642.0,523.0,242.0,381.0,394.0,944.0,34.0,20.0,12.0,38.0,45.0,132.0,21.0,,27.0,,
LOCAL-110705,Fanhões,26,28,336.0,440.0,391.0,81.0,74.0,31.0,65.0,44.0,123.0,2.0,1.0,0.0,4.0,2.0,17.0,2.0,,3.0,,
LOCAL-110707,Loures,182,221,4625.0,4917.0,3729.0,856.0,1286.0,258.0,856.0,559.0,861.0,37.0,9.0,16.0,47.0,24.0,69.0,16.0,,16.0,,
LOCAL-110708,Lousa,24,25,452.0,471.0,420.0,92.0,111.0,41.0,63.0,55.0,91.0,7.0,0.0,2.0,6.0,2.0,11.0,2.0,,2.0,,
LOCAL-110726,Moscavide e Portela,104,115,4146.0,3768.0,1342.0,537.0,872.0,152.0,728.0,273.0,452.0,27.0,13.0,6.0,23.0,15.0,32.0,8.0,,4.0,,
