,territoryName,null_votes,blank_votes,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
LOCAL-040507,Carrapatas,4,1,47.0,29.0,24.0,2.0,2.0,2.0,1.0,0.0,1.0,,1.0,,0.0,0.0,,0.0,,,,
LOCAL-040541,Castelãos e Vilar do Monte,4,0,100.0,47.0,51.0,2.0,1.0,5.0,0.0,1.0,2.0,,0.0,,0.0,1.0,,1.0,,,,
LOCAL-040509,Chacim,2,2,48.0,47.0,9.0,3.0,0.0,5.0,0.0,0.0,1.0,,1.0,,0.0,0.0,,0.0,,,,
LOCAL-040510,Cortiços,0,1,40.0,59.0,29.0,6.0,1.0,3.0,3.0,7.0,6.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-040511,Corujas,0,1,66.0,21.0,7.0,5.0,1.0,4.0,1.0,0.0,2.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-040542,"Espadanedo, Edroso, Murçós e Soutelo Mourisco",2,5,114.0,85.0,26.0,6.0,2.0,6.0,0.0,2.0,0.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-040514,Ferreira,3,0,45.0,38.0,18.0,2.0,2.0,3.0,0.0,0.0,2.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040515,Grijó,3,3,88.0,60.0,25.0,3.0,1.0,3.0,2.0,0.0,2.0,,0.0,,2.0,0.0,,0.0,,,,
LOCAL-040516,Lagoa,1,0,66.0,45.0,40.0,0.0,2.0,3.0,3.0,1.0,0.0,,2.0,,1.0,0.0,,0.0,,,,
LOCAL-040517,Lamalonga,4,4,82.0,60.0,23.0,2.0,5.0,6.0,0.0,1.0,0.0,,0.0,,1.0,1.0,,0.0,,,,
LOCAL-040518,Lamas,2,1,88.0,16.0,27.0,1.0,1.0,4.0,0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,,,
LOCAL-040519,Lombo,2,3,58.0,66.0,33.0,0.0,1.0,6.0,0.0,0.0,1.0,,0.0,,0.0,1.0,,1.0,,,,
LOCAL-040520,Macedo de Cavaleiros,42,30,1447.0,1112.0,545.0,105.0,62.0,58.0,59.0,35.0,47.0,,4.0,,10.0,14.0,,0.0,,,,
LOCAL-040521,Morais,2,2,77.0,110.0,46.0,2.0,2.0,3.0,4.0,4.0,1.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-040523,Olmos,2,4,40.0,43.0,12.0,2.0,0.0,2.0,2.0,1.0,1.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040524,Peredo,2,1,43.0,37.0,24.0,0.0,2.0,5.0,1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040543,Podence e Santa Combinha,3,4,77.0,73.0,31.0,3.0,2.0,2.0,3.0,2.0,2.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-040526,Salselas,4,4,80.0,55.0,32.0,6.0,0.0,9.0,2.0,1.0,3.0,,0.0,,1.0,2.0,,0.0,,,,
LOCAL-040528,Sezulfe,3,3,57.0,57.0,36.0,4.0,3.0,2.0,2.0,2.0,3.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040530,Talhas,3,3,68.0,61.0,25.0,0.0,2.0,8.0,1.0,0.0,1.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-040544,Talhinhas e Bagueixe,4,0,52.0,83.0,32.0,1.0,0.0,7.0,1.0,1.0,3.0,,1.0,,0.0,1.0,,0.0,,,,
LOCAL-040532,Vale Benfeito,1,0,59.0,15.0,16.0,0.0,4.0,3.0,1.0,1.0,0.0,,0.0,,4.0,0.0,,0.0,,,,
LOCAL-040533,Vale da Porca,6,2,51.0,54.0,29.0,5.0,1.0,6.0,1.0,2.0,7.0,,1.0,,1.0,1.0,,0.0,,,,
LOCAL-040534,Vale de Prados,5,5,93.0,102.0,61.0,2.0,8.0,11.0,1.0,0.0,0.0,,0.0,,1.0,2.0,,0.0,,,,
LOCAL-040536,Vilarinho de Agrochão,1,1,58.0,45.0,15.0,3.0,0.0,1.0,2.0,0.0,1.0,,1.0,,0.0,0.0,,1.0,,,,
LOCAL-040538,Vinhas,1,0,42.0,35.0,17.0,4.0,1.0,8.0,1.0,0.0,1.0,,0.0,,1.0,1.0,,0.0,,,,
LOCAL-040618,Constantim e Cicouro,3,6,43.0,34.0,11.0,2.0,1.0,0.0,0.0,0.0,2.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-040604,Duas Igrejas,6,7,137.0,87.0,39.0,4.0,1.0,3.0,0.0,2.0,0.0,,0.0,,1.0,1.0,,0.0,,,,
LOCAL-040605,Genísio,2,2,56.0,24.0,8.0,0.0,1.0,4.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-040619,Ifanes e Paradela,2,6,77.0,42.0,18.0,0.0,1.0,11.0,0.0,0.0,1.0,,1.0,,0.0,0.0,,0.0,,,,
LOCAL-040607,Malhadas,2,2,78.0,44.0,23.0,5.0,3.0,2.0,3.0,2.0,0.0,,2.0,,0.0,1.0,,0.0,,,,
LOCAL-040608,Miranda do Douro,15,16,510.0,363.0,144.0,31.0,14.0,15.0,19.0,16.0,2.0,,0.0,,3.0,3.0,,0.0,,,,
LOCAL-040609,Palaçoulo,3,7,114.0,53.0,43.0,10.0,8.0,7.0,2.0,1.0,0.0,,0.0,,1.0,1.0,,0.0,,,,
LOCAL-040611,Picote,1,6,44.0,73.0,14.0,2.0,0.0,3.0,1.0,1.0,3.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040612,Póvoa,2,2,39.0,31.0,14.0,2.0,2.0,4.0,2.0,2.0,0.0,,1.0,,0.0,2.0,,0.0,,,,
LOCAL-040613,São Martinho de Angueira,1,3,57.0,53.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,,2.0,2.0,,0.0,,,,
LOCAL-040620,Sendim e Atenor,19,18,273.0,234.0,130.0,21.0,22.0,16.0,7.0,3.0,3.0,,2.0,,2.0,4.0,,0.0,,,,
LOCAL-040621,Silva e Águas Vivas,6,2,119.0,42.0,34.0,3.0,0.0,6.0,2.0,1.0,1.0,,0.0,,2.0,1.0,,0.0,,,,
LOCAL-040616,Vila Chã de Braciosa,3,4,63.0,53.0,23.0,1.0,1.0,8.0,5.0,1.0,3.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-040701,Abambres,2,0,102.0,55.0,59.0,4.0,3.0,6.0,1.0,1.0,3.0,,0.0,,1.0,2.0,,0.0,,,,
LOCAL-040702,Abreiro,2,3,43.0,25.0,44.0,0.0,0.0,5.0,2.0,0.0,4.0,,1.0,,1.0,0.0,,0.0,,,,
LOCAL-040703,Aguieiras,3,0,68.0,36.0,21.0,0.0,2.0,5.0,1.0,1.0,1.0,,0.0,,2.0,1.0,,0.0,,,,
LOCAL-040704,Alvites,0,0,37.0,29.0,26.0,4.0,1.0,6.0,2.0,1.0,2.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040738,Avantos e Romeu,2,2,76.0,55.0,51.0,4.0,1.0,4.0,0.0,1.0,4.0,,1.0,,0.0,0.0,,2.0,,,,
LOCAL-040739,"Avidagos, Navalho e Pereira",3,3,109.0,63.0,75.0,9.0,1.0,5.0,1.0,3.0,2.0,,1.0,,0.0,0.0,,1.0,,,,
LOCAL-040740,"Barcel, Marmelos e Valverde da Gestosa",1,4,63.0,60.0,63.0,4.0,0.0,2.0,2.0,0.0,2.0,,1.0,,0.0,2.0,,0.0,,,,
LOCAL-040708,Bouça,0,1,70.0,29.0,25.0,2.0,2.0,2.0,1.0,1.0,1.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040709,Cabanelas,2,0,98.0,43.0,39.0,3.0,1.0,7.0,1.0,4.0,2.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-040710,Caravelas,0,1,43.0,25.0,24.0,4.0,3.0,6.0,2.0,3.0,4.0,,0.0,,1.0,3.0,,0.0,,,,
LOCAL-040711,Carvalhais,11,8,199.0,176.0,165.0,13.0,19.0,12.0,7.0,4.0,20.0,,2.0,,2.0,1.0,,0.0,,,,
LOCAL-040712,Cedães,8,2,56.0,69.0,37.0,4.0,3.0,4.0,2.0,0.0,6.0,,1.0,,0.0,4.0,,1.0,,,,
LOCAL-040713,Cobro,0,1,54.0,16.0,24.0,1.0,0.0,2.0,0.0,3.0,2.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-040714,Fradizela,2,1,49.0,35.0,27.0,2.0,1.0,5.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,0.0,,,,
LOCAL-040741,Franco e Vila Boa,0,0,63.0,38.0,52.0,3.0,2.0,6.0,3.0,2.0,1.0,,0.0,,0.0,3.0,,0.0,,,,
LOCAL-040716,Frechas,3,7,155.0,180.0,100.0,8.0,4.0,13.0,3.0,2.0,12.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-040742,Freixeda e Vila Verde,2,1,44.0,20.0,13.0,0.0,2.0,1.0,1.0,0.0,3.0,,1.0,,0.0,0.0,,0.0,,,,
LOCAL-040718,Lamas de Orelhão,7,4,134.0,26.0,79.0,2.0,1.0,12.0,1.0,3.0,0.0,,3.0,,0.0,2.0,,0.0,,,,
LOCAL-040720,Mascarenhas,3,3,103.0,97.0,65.0,3.0,7.0,7.0,2.0,2.0,9.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-040721,Mirandela,74,57,2576.0,1705.0,1490.0,173.0,184.0,101.0,81.0,83.0,131.0,,3.0,,13.0,19.0,,4.0,,,,
LOCAL-040722,Múrias,3,2,69.0,28.0,26.0,5.0,1.0,4.0,4.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040724,Passos,3,6,77.0,60.0,60.0,6.0,4.0,8.0,3.0,0.0,2.0,,0.0,,0.0,2.0,,1.0,,,,
LOCAL-040727,São Pedro Velho,2,1,89.0,42.0,18.0,5.0,3.0,7.0,0.0,1.0,0.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-040728,São Salvador,1,2,50.0,44.0,28.0,0.0,1.0,1.0,0.0,0.0,1.0,,1.0,,0.0,3.0,,0.0,,,,
LOCAL-040729,Suçães,5,8,126.0,86.0,68.0,5.0,5.0,8.0,1.0,1.0,5.0,,0.0,,3.0,0.0,,0.0,,,,
LOCAL-040730,Torre de Dona Chama,8,4,184.0,132.0,108.0,4.0,4.0,17.0,2.0,4.0,3.0,,1.0,,1.0,3.0,,0.0,,,,
LOCAL-040731,Vale de Asnes,4,0,68.0,19.0,26.0,1.0,0.0,6.0,2.0,0.0,1.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040732,Vale de Gouvinhas,2,1,51.0,43.0,36.0,2.0,0.0,5.0,1.0,1.0,1.0,,1.0,,0.0,1.0,,0.0,,,,
LOCAL-040733,Vale de Salgueiro,3,3,119.0,48.0,41.0,3.0,2.0,8.0,1.0,1.0,4.0,,0.0,,0.0,6.0,,0.0,,,,
LOCAL-040734,Vale de Telhas,1,3,43.0,44.0,36.0,1.0,1.0,7.0,0.0,1.0,1.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-040801,Azinhoso,3,1,73.0,42.0,29.0,5.0,0.0,3.0,0.0,2.0,0.0,,0.0,,1.0,1.0,,0.0,,,,
LOCAL-040802,Bemposta,4,1,107.0,86.0,66.0,6.0,3.0,8.0,3.0,5.0,4.0,,0.0,,0.0,3.0,,0.0,,,,
LOCAL-040803,Bruçó,4,1,34.0,32.0,21.0,2.0,0.0,2.0,1.0,1.0,1.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-040804,Brunhoso,1,3,69.0,41.0,18.0,1.0,0.0,0.0,3.0,1.0,1.0,,0.0,,0.0,3.0,,0.0,,,,
LOCAL-040829,"Brunhozinho, Castanheira e Sanhoane",0,1,85.0,27.0,39.0,3.0,1.0,4.0,2.0,0.0,1.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-040807,Castelo Branco,2,2,88.0,73.0,62.0,7.0,0.0,6.0,2.0,1.0,4.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-040808,Castro Vicente,0,0,65.0,49.0,43.0,1.0,2.0,11.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040809,Meirinhos,1,2,46.0,73.0,51.0,4.0,1.0,5.0,0.0,1.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040830,"Mogadouro, Valverde, Vale de Porco e Vilar de Rei",32,26,935.0,489.0,481.0,20.0,22.0,36.0,21.0,15.0,16.0,,1.0,,1.0,6.0,,4.0,,,,
LOCAL-040811,Paradela,1,0,45.0,28.0,14.0,2.0,0.0,4.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040812,Penas Roias,4,2,100.0,53.0,47.0,3.0,3.0,7.0,0.0,3.0,1.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-040813,Peredo da Bemposta,1,1,79.0,21.0,27.0,1.0,0.0,3.0,0.0,1.0,1.0,,0.0,,2.0,1.0,,0.0,,,,
LOCAL-040831,Remondes e Soutelo,4,4,109.0,44.0,46.0,2.0,4.0,2.0,1.0,1.0,0.0,,0.0,,1.0,3.0,,0.0,,,,
LOCAL-040815,Saldanha,1,2,63.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040817,São Martinho do Peso,3,1,76.0,43.0,35.0,2.0,0.0,2.0,0.0,1.0,3.0,,0.0,,0.0,1.0,,2.0,,,,
LOCAL-040819,Tó,1,0,73.0,22.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,0.0,,,,
LOCAL-040820,Travanca,0,2,42.0,20.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040821,Urrós,5,2,89.0,46.0,31.0,2.0,0.0,5.0,1.0,2.0,0.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-040822,Vale da Madre,3,0,35.0,13.0,29.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,,0.0,0.0,,0.0,,,,
LOCAL-040826,Vila de Ala,0,2,64.0,19.0,29.0,3.0,2.0,5.0,0.0,0.0,1.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-040832,Vilarinho dos Galegos e Ventozelo,2,5,82.0,58.0,57.0,0.0,4.0,2.0,3.0,1.0,0.0,,0.0,,0.0,2.0,,1.0,,,,
LOCAL-040901,Açoreira,8,1,104.0,88.0,39.0,3.0,2.0,3.0,1.0,0.0,3.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-040918,Adeganha e Cardanha,4,2,120.0,80.0,42.0,3.0,2.0,5.0,3.0,0.0,3.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-040903,Cabeça Boa,5,3,79.0,50.0,37.0,2.0,1.0,2.0,1.0,2.0,2.0,,1.0,,0.0,0.0,,0.0,,,,
LOCAL-040905,Carviçais,7,0,163.0,84.0,72.0,6.0,1.0,5.0,5.0,1.0,4.0,,2.0,,1.0,2.0,,0.0,,,,
LOCAL-040906,Castedo,3,1,20.0,25.0,26.0,0.0,2.0,0.0,1.0,1.0,2.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-040919,Felgar e Souto da Velha,3,8,224.0,179.0,98.0,6.0,9.0,11.0,4.0,7.0,7.0,,0.0,,1.0,1.0,,0.0,,,,
LOCAL-040920,Felgueiras e Maçores,2,1,97.0,78.0,14.0,3.0,4.0,2.0,1.0,0.0,1.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040909,Horta da Vilariça,3,2,50.0,27.0,37.0,6.0,0.0,5.0,1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040910,Larinho,2,2,67.0,72.0,24.0,8.0,2.0,9.0,1.0,1.0,1.0,,1.0,,0.0,1.0,,0.0,,,,
LOCAL-040911,Lousa,3,2,56.0,53.0,25.0,1.0,1.0,0.0,1.0,0.0,6.0,,0.0,,1.0,1.0,,0.0,,,,
LOCAL-040913,Mós,0,1,21.0,37.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-040916,Torre de Moncorvo,13,21,642.0,479.0,261.0,21.0,20.0,23.0,22.0,16.0,21.0,,1.0,,4.0,3.0,,0.0,,,,
LOCAL-040921,Urros e Peredo dos Castelhanos,5,1,71.0,71.0,18.0,4.0,0.0,4.0,0.0,0.0,5.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-041020,Assares e Lodões,1,2,32.0,51.0,29.0,2.0,0.0,3.0,1.0,1.0,7.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-041002,Benlhevai,3,0,45.0,51.0,19.0,3.0,4.0,4.0,2.0,1.0,1.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-041021,Candoso e Carvalho de Egas,2,5,67.0,58.0,27.0,4.0,1.0,2.0,1.0,0.0,2.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041005,Freixiel,5,3,122.0,123.0,50.0,4.0,2.0,7.0,2.0,2.0,4.0,,2.0,,0.0,2.0,,0.0,,,,
LOCAL-041009,Roios,4,0,32.0,32.0,20.0,2.0,3.0,1.0,2.0,1.0,1.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-041010,Samões,4,1,67.0,64.0,55.0,3.0,5.0,8.0,1.0,1.0,1.0,,2.0,,0.0,2.0,,0.0,,,,
LOCAL-041011,Sampaio,0,0,52.0,19.0,22.0,0.0,0.0,4.0,1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041012,Santa Comba de Vilariça,2,1,57.0,82.0,49.0,5.0,2.0,3.0,2.0,2.0,6.0,,0.0,,1.0,1.0,,0.0,,,,
LOCAL-041013,Seixo de Manhoses,3,4,136.0,46.0,45.0,7.0,2.0,7.0,1.0,1.0,3.0,,2.0,,0.0,0.0,,0.0,,,,
LOCAL-041014,Trindade,0,1,46.0,11.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041015,Vale Frechoso,0,1,40.0,34.0,20.0,1.0,0.0,5.0,0.0,0.0,2.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-041022,Valtorno e Mourão,0,2,93.0,51.0,37.0,4.0,1.0,8.0,4.0,1.0,1.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041023,Vila Flor e Nabo,18,16,484.0,403.0,268.0,19.0,27.0,25.0,10.0,13.0,14.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-041024,Vilas Boas e Vilarinho das Azenhas,1,3,143.0,99.0,103.0,6.0,5.0,11.0,1.0,4.0,4.0,,0.0,,2.0,3.0,,0.0,,,,
LOCAL-041115,"Algoso, Campo de Víboras e Uva",7,7,219.0,58.0,47.0,5.0,3.0,7.0,1.0,1.0,1.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-041103,Argozelo,10,0,111.0,164.0,28.0,6.0,1.0,5.0,0.0,1.0,2.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-041116,Caçarelhos e Angueira,3,2,82.0,48.0,24.0,3.0,1.0,8.0,0.0,1.0,3.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-041107,Carção,7,1,84.0,45.0,26.0,1.0,0.0,2.0,0.0,3.0,1.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-041108,Matela,2,0,64.0,23.0,6.0,4.0,2.0,3.0,2.0,0.0,0.0,,2.0,,0.0,1.0,,0.0,,,,
LOCAL-041109,Pinelo,1,4,50.0,21.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,1.0,,,,
LOCAL-041110,Santulhão,5,0,90.0,47.0,27.0,1.0,0.0,10.0,1.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-041117,Vale de Frades e Avelanoso,2,0,64.0,40.0,22.0,0.0,4.0,4.0,1.0,2.0,0.0,,0.0,,2.0,2.0,,0.0,,,,
LOCAL-041113,Vilar Seco,2,3,47.0,23.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-041114,Vimioso,8,8,219.0,236.0,98.0,13.0,4.0,14.0,3.0,8.0,3.0,,1.0,,0.0,2.0,,0.0,,,,
LOCAL-041201,Agrochão,2,3,48.0,25.0,19.0,2.0,2.0,7.0,2.0,1.0,3.0,,0.0,,1.0,3.0,,0.0,,,,
LOCAL-041203,Candedo,1,0,55.0,62.0,23.0,1.0,1.0,6.0,0.0,0.0,2.0,,2.0,,2.0,1.0,,1.0,,,,
LOCAL-041204,Celas,0,1,45.0,30.0,21.0,4.0,0.0,4.0,0.0,0.0,0.0,,0.0,,2.0,1.0,,0.0,,,,
LOCAL-041236,Curopos e Vale de Janeiro,6,0,62.0,63.0,29.0,1.0,2.0,8.0,1.0,1.0,0.0,,1.0,,0.0,1.0,,0.0,,,,
LOCAL-041206,Edral,1,0,20.0,43.0,9.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041207,Edrosa,1,0,34.0,30.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,1.0,,,,
LOCAL-041208,Ervedosa,3,2,68.0,79.0,23.0,2.0,0.0,11.0,0.0,0.0,1.0,,3.0,,0.0,0.0,,0.0,,,,
LOCAL-041237,Moimenta e Montouto,3,2,30.0,52.0,24.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,,1.0,0.0,,0.0,,,,
LOCAL-041238,Nunes e Ousilhão,4,2,38.0,53.0,15.0,3.0,0.0,6.0,0.0,3.0,0.0,,2.0,,2.0,1.0,,0.0,,,,
LOCAL-041215,Paçó,0,2,48.0,15.0,29.0,2.0,0.0,4.0,0.0,0.0,1.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-041216,Penhas Juntas,2,4,51.0,35.0,24.0,1.0,8.0,3.0,1.0,1.0,0.0,,1.0,,2.0,0.0,,1.0,,,,
LOCAL-041239,Quirás e Pinheiro Novo,2,0,31.0,49.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041219,Rebordelo,3,2,111.0,159.0,73.0,3.0,2.0,5.0,0.0,1.0,6.0,,0.0,,0.0,2.0,,0.0,,,,
LOCAL-041221,Santalha,0,0,55.0,30.0,11.0,1.0,4.0,4.0,0.0,1.0,0.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-041240,Sobreiro de Baixo e Alvaredos,1,1,92.0,60.0,29.0,0.0,4.0,3.0,0.0,0.0,1.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041241,"Soeira, Fresulfe e Mofreita",1,7,33.0,41.0,15.0,0.0,2.0,0.0,1.0,0.0,1.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041242,Travanca e Santa Cruz,1,1,52.0,35.0,20.0,3.0,3.0,0.0,1.0,1.0,1.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041226,Tuizelo,1,3,71.0,25.0,19.0,1.0,0.0,4.0,1.0,1.0,3.0,,1.0,,0.0,2.0,,1.0,,,,
LOCAL-041227,Vale das Fontes,1,1,80.0,62.0,25.0,1.0,0.0,3.0,1.0,1.0,1.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041229,Vila Boa de Ousilhão,4,0,28.0,20.0,13.0,3.0,0.0,3.0,1.0,1.0,0.0,,1.0,,0.0,1.0,,0.0,,,,
LOCAL-041243,Vilar de Lomba e São Jomil,2,1,58.0,40.0,16.0,0.0,3.0,8.0,0.0,2.0,0.0,,0.0,,1.0,1.0,,0.0,,,,
LOCAL-041232,Vilar de Ossos,3,1,52.0,46.0,15.0,3.0,4.0,4.0,3.0,1.0,0.0,,0.0,,0.0,0.0,,0.0,,,,
LOCAL-041233,Vilar de Peregrinos,0,1,39.0,31.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-041234,Vilar Seco de Lomba,0,0,47.0,50.0,9.0,0.0,2.0,1.0,2.0,0.0,1.0,,1.0,,1.0,0.0,,0.0,,,,
LOCAL-041230,Vila Verde,3,1,32.0,29.0,12.0,0.0,5.0,2.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,0.0,,,,
LOCAL-041235,Vinhais,20,5,443.0,470.0,186.0,30.0,15.0,38.0,14.0,7.0,7.0,,2.0,,2.0,3.0,,1.0,,,,
LOCAL-050106,Belmonte e Colmeal da Torre,38,25,433.0,808.0,413.0,74.0,32.0,28.0,24.0,28.0,70.0,1.0,1.0,,7.0,6.0,5.0,,,,,
LOCAL-050102,Caria,18,16,253.0,342.0,213.0,39.0,15.0,19.0,20.0,22.0,25.0,3.0,0.0,,2.0,4.0,5.0,,,,,
LOCAL-050104,Inguias,6,9,69.0,143.0,56.0,15.0,7.0,8.0,3.0,5.0,12.0,2.0,0.0,,1.0,0.0,2.0,,,,,
LOCAL-050105,Maçainhas,4,6,45.0,87.0,9.0,8.0,2.0,4.0,1.0,3.0,5.0,0.0,0.0,,0.0,1.0,1.0,,,,,
LOCAL-050201,Alcains,41,46,634.0,834.0,674.0,116.0,98.0,34.0,68.0,47.0,45.0,2.0,3.0,,6.0,10.0,7.0,,,,,
LOCAL-050202,Almaceda,2,1,77.0,115.0,34.0,9.0,7.0,4.0,1.0,2.0,5.0,0.0,1.0,,1.0,1.0,2.0,,,,,
LOCAL-050203,Benquerenças,7,12,96.0,138.0,102.0,23.0,17.0,9.0,12.0,4.0,5.0,0.0,0.0,,2.0,0.0,2.0,,,,,
LOCAL-050205,Castelo Branco,216,282,6436.0,5702.0,5400.0,972.0,860.0,245.0,556.0,339.0,403.0,30.0,17.0,,61.0,31.0,51.0,,,,,
LOCAL-050226,Cebolais de Cima e Retaxo,16,10,171.0,483.0,233.0,51.0,29.0,6.0,15.0,25.0,44.0,1.0,0.0,,1.0,3.0,7.0,,,,,
LOCAL-050227,Escalos de Baixo e Mata,7,13,134.0,223.0,163.0,24.0,13.0,12.0,17.0,9.0,6.0,3.0,1.0,,3.0,3.0,3.0,,,,,
LOCAL-050228,Escalos de Cima e Lousa,12,6,160.0,327.0,191.0,35.0,19.0,12.0,10.0,13.0,10.0,1.0,1.0,,2.0,5.0,3.0,,,,,
LOCAL-050229,Freixial e Juncal do Campo,16,6,92.0,175.0,87.0,16.0,7.0,6.0,11.0,9.0,7.0,0.0,0.0,,5.0,2.0,4.0,,,,,
LOCAL-050211,Lardosa,13,3,118.0,180.0,114.0,15.0,11.0,8.0,16.0,7.0,14.0,0.0,0.0,,0.0,1.0,10.0,,,,,
LOCAL-050212,Louriçal do Campo,3,5,83.0,118.0,51.0,5.0,3.0,3.0,2.0,5.0,4.0,1.0,0.0,,1.0,6.0,0.0,,,,,
LOCAL-050214,Malpica do Tejo,4,0,20.0,105.0,45.0,7.0,0.0,0.0,1.0,1.0,24.0,1.0,0.0,,0.0,1.0,3.0,,,,,
LOCAL-050216,Monforte da Beira,3,3,33.0,83.0,33.0,2.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,1.0,,,,,
LOCAL-050230,Ninho do Açor e Sobral do Campo,4,2,112.0,134.0,114.0,12.0,10.0,6.0,10.0,6.0,3.0,2.0,0.0,,1.0,3.0,1.0,,,,,
