,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
LOCAL-030736,Vinhós,5,6,149.0,103.0,13.0,25.0,2.0,0.0,0.0,25.0,0.0,2.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
LOCAL-030875,Abação e Gémeos,18,50,575.0,467.0,77.0,97.0,9.0,7.0,8.0,46.0,2.0,18.0,1.0,33.0,12.0,7.0,2.0,5.0,2.0,14.0,6.0,2.0,1.0
LOCAL-030876,"Airão Santa Maria, Airão São João e Vermil",29,72,878.0,781.0,144.0,188.0,12.0,5.0,10.0,69.0,1.0,7.0,2.0,42.0,10.0,2.0,3.0,1.0,3.0,12.0,5.0,2.0,3.0
LOCAL-030801,Aldão,15,24,282.0,241.0,26.0,77.0,9.0,4.0,7.0,23.0,0.0,8.0,0.0,10.0,8.0,2.0,2.0,2.0,0.0,12.0,1.0,1.0,0.0
LOCAL-030877,Arosa e Castelões,5,18,170.0,112.0,16.0,33.0,3.0,2.0,5.0,12.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
LOCAL-030878,Atães e Rendufe,22,48,596.0,328.0,44.0,116.0,4.0,3.0,9.0,41.0,1.0,8.0,0.0,16.0,13.0,5.0,5.0,4.0,5.0,16.0,1.0,1.0,2.0
LOCAL-030804,Azurém,42,153,1708.0,1425.0,180.0,568.0,32.0,28.0,58.0,286.0,8.0,80.0,8.0,125.0,29.0,6.0,9.0,7.0,4.0,19.0,12.0,2.0,3.0
LOCAL-030806,Barco,13,41,299.0,282.0,31.0,55.0,3.0,2.0,3.0,23.0,0.0,10.0,0.0,18.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
LOCAL-030879,Briteiros Santo Estêvão e Donim,11,39,459.0,376.0,51.0,70.0,2.0,10.0,10.0,36.0,2.0,4.0,0.0,36.0,8.0,3.0,5.0,4.0,5.0,9.0,0.0,0.0,0.0
LOCAL-030880,Briteiros São Salvador e Briteiros Santa Leocádia,11,22,336.0,300.0,32.0,65.0,3.0,3.0,8.0,55.0,2.0,2.0,1.0,15.0,6.0,3.0,1.0,1.0,6.0,7.0,2.0,0.0,3.0
LOCAL-030807,Brito,41,85,1143.0,765.0,73.0,283.0,13.0,17.0,12.0,189.0,2.0,20.0,0.0,66.0,25.0,4.0,3.0,6.0,8.0,15.0,4.0,2.0,2.0
LOCAL-030808,Caldelas,54,114,1361.0,1090.0,114.0,361.0,18.0,20.0,22.0,175.0,2.0,34.0,2.0,101.0,19.0,4.0,7.0,5.0,5.0,17.0,8.0,6.0,3.0
LOCAL-030857,Candoso (São Martinho),13,23,372.0,199.0,13.0,78.0,3.0,3.0,6.0,73.0,0.0,3.0,0.0,25.0,5.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0
LOCAL-030881,Candoso São Tiago e Mascotelos,25,66,793.0,592.0,73.0,249.0,12.0,15.0,17.0,127.0,2.0,40.0,6.0,69.0,10.0,5.0,2.0,4.0,1.0,17.0,1.0,4.0,1.0
LOCAL-030882,Conde e Gandarela,19,33,700.0,260.0,30.0,158.0,12.0,4.0,5.0,172.0,2.0,3.0,3.0,36.0,13.0,4.0,1.0,3.0,1.0,15.0,5.0,2.0,3.0
LOCAL-030812,Costa,35,88,778.0,1206.0,104.0,277.0,12.0,23.0,39.0,117.0,0.0,73.0,0.0,75.0,6.0,4.0,5.0,4.0,1.0,18.0,6.0,1.0,2.0
LOCAL-030813,Creixomil,65,144,1872.0,1937.0,205.0,558.0,28.0,38.0,40.0,379.0,5.0,58.0,0.0,156.0,35.0,11.0,4.0,11.0,5.0,20.0,7.0,4.0,5.0
LOCAL-030815,Fermentões,30,99,1227.0,770.0,95.0,355.0,25.0,20.0,19.0,152.0,0.0,32.0,1.0,97.0,19.0,6.0,0.0,10.0,1.0,21.0,5.0,3.0,4.0
LOCAL-030820,Gonça,8,13,271.0,172.0,20.0,39.0,3.0,1.0,3.0,15.0,0.0,1.0,1.0,11.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,3.0
LOCAL-030821,Gondar,18,46,670.0,308.0,16.0,182.0,6.0,2.0,22.0,169.0,2.0,4.0,11.0,31.0,6.0,0.0,0.0,2.0,0.0,10.0,1.0,2.0,0.0
LOCAL-030823,Guardizela,11,32,664.0,365.0,31.0,137.0,6.0,4.0,5.0,74.0,1.0,3.0,0.0,37.0,14.0,3.0,3.0,1.0,1.0,11.0,1.0,0.0,0.0
LOCAL-030824,Infantas,16,21,454.0,236.0,32.0,98.0,5.0,7.0,2.0,32.0,1.0,3.0,0.0,13.0,7.0,4.0,1.0,1.0,2.0,20.0,1.0,1.0,2.0
LOCAL-030883,"Leitões, Oleiros e Figueiredo",9,27,318.0,320.0,74.0,56.0,6.0,4.0,0.0,28.0,1.0,3.0,1.0,23.0,1.0,2.0,1.0,1.0,1.0,10.0,2.0,0.0,0.0
LOCAL-030827,Longos,7,25,297.0,228.0,40.0,39.0,0.0,2.0,4.0,35.0,0.0,2.0,0.0,10.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0
LOCAL-030828,Lordelo,27,64,1064.0,621.0,78.0,223.0,13.0,7.0,13.0,105.0,1.0,13.0,0.0,39.0,7.0,2.0,6.0,7.0,1.0,25.0,4.0,1.0,2.0
LOCAL-030830,Mesão Frio,27,74,960.0,811.0,80.0,305.0,14.0,25.0,20.0,100.0,2.0,42.0,1.0,65.0,16.0,6.0,3.0,6.0,2.0,27.0,1.0,4.0,1.0
LOCAL-030831,Moreira de Cónegos,33,51,1400.0,507.0,58.0,286.0,8.0,10.0,9.0,239.0,2.0,15.0,0.0,60.0,18.0,3.0,2.0,4.0,1.0,11.0,5.0,0.0,2.0
LOCAL-030832,Nespereira,17,41,744.0,341.0,32.0,131.0,10.0,5.0,7.0,62.0,0.0,13.0,2.0,49.0,14.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0
LOCAL-030884,"Oliveira, São Paio e São Sebastião",55,98,1403.0,1620.0,243.0,436.0,20.0,26.0,54.0,289.0,6.0,63.0,7.0,126.0,30.0,6.0,0.0,12.0,1.0,10.0,10.0,6.0,2.0
LOCAL-030835,Pencelo,10,16,336.0,166.0,24.0,63.0,4.0,4.0,3.0,37.0,0.0,6.0,0.0,19.0,5.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0
LOCAL-030836,Pinheiro,8,22,307.0,159.0,25.0,73.0,3.0,5.0,3.0,24.0,0.0,5.0,0.0,10.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0
LOCAL-030837,Polvoreira,16,67,1043.0,420.0,55.0,199.0,4.0,7.0,14.0,84.0,3.0,22.0,4.0,45.0,19.0,9.0,2.0,3.0,2.0,13.0,4.0,4.0,5.0
LOCAL-030838,Ponte,49,122,1601.0,815.0,64.0,369.0,20.0,17.0,23.0,198.0,3.0,29.0,1.0,118.0,24.0,10.0,2.0,9.0,2.0,16.0,5.0,2.0,6.0
LOCAL-030842,Prazins (Santa Eufémia),11,21,295.0,234.0,15.0,62.0,2.0,1.0,0.0,26.0,1.0,7.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
LOCAL-030885,Prazins Santo Tirso e Corvite,20,43,404.0,361.0,53.0,83.0,8.0,6.0,10.0,32.0,1.0,11.0,0.0,23.0,5.0,2.0,3.0,2.0,0.0,9.0,2.0,0.0,1.0
LOCAL-030840,Ronfe,36,108,1163.0,820.0,63.0,281.0,7.0,6.0,22.0,100.0,1.0,12.0,0.0,52.0,13.0,4.0,2.0,5.0,8.0,17.0,3.0,5.0,2.0
LOCAL-030858,Sande (São Martinho),17,46,519.0,464.0,45.0,86.0,2.0,4.0,9.0,48.0,0.0,4.0,0.0,27.0,9.0,4.0,4.0,1.0,1.0,6.0,3.0,2.0,3.0
LOCAL-030886,Sande São Lourenço e Balazar,13,32,350.0,278.0,37.0,50.0,4.0,9.0,3.0,20.0,1.0,3.0,0.0,13.0,1.0,3.0,1.0,0.0,1.0,6.0,8.0,3.0,1.0
LOCAL-030887,Sande Vila Nova e Sande São Clemente,25,78,785.0,608.0,102.0,188.0,7.0,12.0,10.0,82.0,0.0,11.0,1.0,40.0,14.0,3.0,2.0,4.0,2.0,7.0,1.0,2.0,1.0
LOCAL-030865,São Torcato,30,74,858.0,596.0,65.0,156.0,4.0,9.0,11.0,74.0,1.0,6.0,2.0,44.0,14.0,5.0,2.0,2.0,4.0,18.0,4.0,4.0,1.0
LOCAL-030850,Selho (São Cristóvão),17,39,582.0,268.0,25.0,153.0,2.0,1.0,6.0,114.0,1.0,10.0,2.0,32.0,10.0,3.0,0.0,4.0,1.0,13.0,4.0,2.0,0.0
LOCAL-030854,Selho (São Jorge),43,137,1355.0,887.0,78.0,397.0,18.0,15.0,22.0,323.0,0.0,28.0,2.0,84.0,32.0,9.0,8.0,11.0,2.0,22.0,3.0,6.0,1.0
LOCAL-030888,Selho São Lourenço e Gominhães,18,35,578.0,340.0,34.0,123.0,6.0,8.0,13.0,52.0,0.0,10.0,0.0,34.0,17.0,3.0,2.0,0.0,2.0,11.0,1.0,1.0,1.0
LOCAL-030866,Serzedelo,28,59,985.0,410.0,43.0,209.0,9.0,6.0,7.0,196.0,1.0,10.0,2.0,37.0,16.0,4.0,4.0,6.0,2.0,18.0,3.0,2.0,1.0
LOCAL-030889,Serzedo e Calvos,19,38,564.0,296.0,85.0,103.0,9.0,9.0,7.0,35.0,0.0,16.0,1.0,28.0,5.0,2.0,2.0,0.0,4.0,12.0,2.0,2.0,2.0
LOCAL-030868,Silvares,19,36,592.0,388.0,57.0,121.0,2.0,7.0,7.0,57.0,0.0,9.0,0.0,33.0,7.0,2.0,2.0,1.0,3.0,12.0,3.0,1.0,2.0
LOCAL-030890,"Souto Santa Maria, Souto São Salvador e Gondomar",20,24,486.0,350.0,40.0,92.0,1.0,4.0,7.0,32.0,3.0,4.0,1.0,21.0,5.0,4.0,2.0,2.0,4.0,10.0,0.0,1.0,0.0
LOCAL-030891,Tabuadelo e São Faustino,20,37,661.0,459.0,53.0,114.0,7.0,7.0,7.0,57.0,1.0,6.0,2.0,51.0,8.0,6.0,6.0,1.0,2.0,11.0,4.0,2.0,1.0
LOCAL-030871,Urgezes,42,101,1210.0,1020.0,117.0,330.0,18.0,18.0,16.0,93.0,2.0,48.0,3.0,69.0,20.0,3.0,2.0,8.0,1.0,19.0,9.0,3.0,2.0
LOCAL-030930,Águas Santas e Moure,3,5,178.0,114.0,11.0,25.0,4.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
LOCAL-030931,Calvos e Frades,2,9,177.0,155.0,18.0,28.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0
LOCAL-030932,Campos e Louredo,30,23,431.0,291.0,45.0,36.0,4.0,6.0,2.0,18.0,0.0,5.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
LOCAL-030906,Covelas,6,12,104.0,87.0,14.0,23.0,2.0,2.0,4.0,10.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
LOCAL-030933,Esperança e Brunhais,7,12,146.0,133.0,15.0,9.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0
LOCAL-030908,Ferreiros,4,4,109.0,74.0,2.0,7.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
LOCAL-030934,Fonte Arcada e Oliveira,7,25,345.0,378.0,52.0,47.0,4.0,2.0,6.0,9.0,0.0,2.0,0.0,21.0,5.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
LOCAL-030912,Galegos,5,10,109.0,126.0,11.0,22.0,1.0,0.0,1.0,8.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
LOCAL-030913,Garfe,9,22,218.0,235.0,22.0,40.0,3.0,3.0,2.0,11.0,1.0,4.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0
LOCAL-030914,Geraz do Minho,10,9,157.0,113.0,13.0,16.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
LOCAL-030915,Lanhoso,6,11,107.0,193.0,14.0,24.0,4.0,1.0,0.0,7.0,0.0,1.0,0.0,15.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
LOCAL-030917,Monsul,5,15,168.0,171.0,17.0,16.0,5.0,0.0,3.0,6.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
LOCAL-030919,Póvoa de Lanhoso (Nossa Senhora do Amparo),34,84,1032.0,1123.0,102.0,189.0,18.0,10.0,11.0,84.0,2.0,12.0,2.0,65.0,3.0,7.0,3.0,3.0,3.0,11.0,8.0,2.0,1.0
LOCAL-030921,Rendufinho,12,7,123.0,159.0,16.0,17.0,2.0,3.0,0.0,8.0,2.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
LOCAL-030922,Santo Emilião,12,11,154.0,194.0,17.0,40.0,1.0,2.0,2.0,11.0,0.0,1.0,0.0,12.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
LOCAL-030923,São João de Rei,4,5,111.0,61.0,11.0,22.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
LOCAL-030924,Serzedelo,3,9,130.0,149.0,19.0,31.0,1.0,7.0,0.0,11.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
LOCAL-030925,Sobradelo da Goma,6,10,141.0,191.0,14.0,15.0,3.0,0.0,1.0,9.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
LOCAL-030926,Taíde,21,34,379.0,303.0,24.0,60.0,4.0,7.0,2.0,12.0,1.0,6.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0
LOCAL-030927,Travassos,2,5,139.0,156.0,30.0,21.0,1.0,5.0,1.0,8.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
LOCAL-030935,"Verim, Friande e Ajude",4,7,147.0,167.0,8.0,21.0,4.0,2.0,0.0,5.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0
LOCAL-030929,Vilela,18,9,103.0,183.0,8.0,17.0,2.0,0.0,0.0,10.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
LOCAL-031001,Balança,7,6,68.0,77.0,7.0,19.0,2.0,8.0,0.0,10.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
LOCAL-031003,Campo do Gerês,0,1,32.0,44.0,0.0,4.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LOCAL-031004,Carvalheira,6,8,64.0,90.0,17.0,6.0,1.0,5.0,1.0,6.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
LOCAL-031018,Chamoim e Vilar,4,12,73.0,107.0,3.0,13.0,1.0,2.0,0.0,13.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
LOCAL-031019,Chorense e Monte,7,9,71.0,162.0,13.0,9.0,2.0,4.0,0.0,11.0,1.0,1.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
LOCAL-031020,Cibões e Brufe,4,9,45.0,93.0,10.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
LOCAL-031008,Covide,1,2,62.0,79.0,11.0,9.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LOCAL-031009,Gondoriz,2,2,72.0,68.0,5.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCAL-031010,Moimenta,9,11,160.0,165.0,10.0,25.0,4.0,7.0,2.0,9.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LOCAL-031012,Ribeira,1,4,23.0,67.0,3.0,10.0,0.0,8.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0
LOCAL-031013,Rio Caldo,9,18,132.0,217.0,17.0,15.0,1.0,2.0,1.0,9.0,0.0,2.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
LOCAL-031014,Souto,9,14,89.0,117.0,28.0,18.0,2.0,1.0,4.0,12.0,2.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0
LOCAL-031015,Valdosende,1,12,133.0,111.0,12.0,15.0,0.0,3.0,3.0,32.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
LOCAL-031017,Vilar da Veiga,8,21,256.0,209.0,17.0,26.0,5.0,1.0,0.0,33.0,1.0,3.0,1.0,11.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0
LOCAL-031122,Anissó e Soutelo,9,3,75.0,102.0,13.0,10.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LOCAL-031123,Anjos e Vilar do Chão,6,3,116.0,173.0,11.0,22.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
LOCAL-031124,Caniçada e Soengas,4,5,97.0,141.0,18.0,14.0,4.0,1.0,0.0,9.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
LOCAL-031105,Cantelães,8,12,142.0,132.0,11.0,29.0,1.0,0.0,2.0,19.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LOCAL-031107,Eira Vedra,10,13,159.0,129.0,12.0,17.0,5.0,0.0,1.0,18.0,2.0,2.0,0.0,10.0,2.0,2.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0
LOCAL-031108,Guilhofrei,14,8,197.0,208.0,27.0,18.0,2.0,2.0,1.0,8.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0,0.0,1.0
LOCAL-031109,Louredo,2,8,66.0,101.0,3.0,7.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0
LOCAL-031110,Mosteiro,3,8,129.0,164.0,15.0,31.0,2.0,1.0,1.0,7.0,0.0,3.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
LOCAL-031111,Parada de Bouro,0,5,104.0,128.0,6.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0
LOCAL-031112,Pinheiro,5,9,86.0,98.0,13.0,10.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
LOCAL-031113,Rossas,10,7,346.0,370.0,25.0,26.0,13.0,1.0,2.0,15.0,0.0,2.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0
LOCAL-031125,Ruivães e Campos,9,2,233.0,201.0,16.0,10.0,1.0,0.0,6.0,11.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
LOCAL-031115,Salamonde,2,1,90.0,52.0,6.0,21.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
LOCAL-031118,Tabuaças,11,10,166.0,207.0,15.0,23.0,5.0,2.0,2.0,10.0,0.0,1.0,0.0,10.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0
LOCAL-031126,Ventosa e Cova,4,4,88.0,143.0,18.0,10.0,2.0,5.0,1.0,5.0,2.0,2.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
LOCAL-031120,Vieira do Minho,25,33,458.0,501.0,24.0,75.0,9.0,5.0,6.0,50.0,2.0,7.0,0.0,25.0,5.0,4.0,0.0,1.0,1.0,11.0,4.0,0.0,0.0
LOCAL-031250,Antas e Abade de Vermoim,50,108,1276.0,1695.0,191.0,335.0,23.0,17.0,25.0,113.0,7.0,40.0,2.0,110.0,14.0,4.0,7.0,8.0,8.0,22.0,5.0,3.0,4.0
LOCAL-031251,Arnoso (Santa Maria e Santa Eulália) e Sezures,48,119,754.0,712.0,77.0,156.0,11.0,4.0,10.0,62.0,0.0,6.0,0.0,56.0,11.0,5.0,1.0,2.0,3.0,20.0,3.0,0.0,4.0
LOCAL-031252,Avidos e Lagoa,33,46,613.0,509.0,70.0,127.0,6.0,2.0,11.0,34.0,3.0,13.0,1.0,46.0,5.0,7.0,8.0,4.0,1.0,3.0,1.0,5.0,1.0
LOCAL-031204,Bairro,17,64,692.0,663.0,66.0,157.0,11.0,0.0,5.0,64.0,0.0,16.0,2.0,35.0,14.0,5.0,1.0,6.0,2.0,11.0,2.0,1.0,1.0
LOCAL-031206,Brufe,28,36,463.0,491.0,68.0,90.0,7.0,6.0,9.0,50.0,1.0,7.0,0.0,30.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0
LOCAL-031253,Carreira e Bente,23,42,595.0,449.0,35.0,100.0,5.0,1.0,12.0,50.0,0.0,9.0,2.0,40.0,6.0,2.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0
LOCAL-031210,Castelões,23,29,476.0,348.0,29.0,99.0,4.0,3.0,10.0,29.0,1.0,5.0,1.0,34.0,4.0,3.0,3.0,1.0,1.0,10.0,2.0,1.0,0.0
LOCAL-031212,Cruz,17,38,346.0,421.0,53.0,74.0,5.0,5.0,4.0,29.0,0.0,10.0,1.0,19.0,6.0,2.0,2.0,2.0,0.0,7.0,2.0,0.0,0.0
LOCAL-031213,Delães,34,63,1053.0,478.0,68.0,229.0,7.0,3.0,16.0,93.0,1.0,14.0,1.0,51.0,16.0,2.0,1.0,0.0,2.0,18.0,2.0,2.0,1.0
LOCAL-031254,Esmeriz e Cabeçudos,35,79,646.0,786.0,121.0,163.0,16.0,14.0,9.0,44.0,1.0,15.0,0.0,46.0,6.0,1.0,4.0,4.0,1.0,17.0,3.0,1.0,2.0
LOCAL-031215,Fradelos,56,69,683.0,773.0,65.0,128.0,12.0,7.0,13.0,28.0,1.0,16.0,0.0,40.0,3.0,1.0,4.0,2.0,0.0,17.0,4.0,4.0,2.0
LOCAL-031216,Gavião,40,52,810.0,748.0,92.0,179.0,17.0,10.0,16.0,49.0,1.0,21.0,2.0,37.0,10.0,0.0,3.0,9.0,4.0,13.0,7.0,9.0,0.0
LOCAL-031255,"Gondifelos, Cavalões e Outiz",48,69,812.0,1132.0,158.0,170.0,13.0,9.0,8.0,47.0,2.0,9.0,2.0,61.0,7.0,5.0,6.0,6.0,6.0,21.0,7.0,1.0,2.0
LOCAL-031219,Joane,72,164,1708.0,1435.0,226.0,462.0,23.0,10.0,22.0,140.0,3.0,22.0,2.0,133.0,15.0,17.0,7.0,10.0,13.0,35.0,14.0,2.0,2.0
LOCAL-031221,Landim,38,59,610.0,486.0,62.0,120.0,5.0,7.0,10.0,36.0,2.0,7.0,1.0,39.0,2.0,4.0,3.0,2.0,2.0,12.0,2.0,0.0,0.0
LOCAL-031256,"Lemenhe, Mouquim e Jesufrei",55,72,656.0,726.0,86.0,136.0,18.0,6.0,13.0,43.0,4.0,10.0,3.0,52.0,9.0,4.0,1.0,4.0,2.0,8.0,0.0,1.0,2.0
LOCAL-031223,Louro,30,45,555.0,470.0,79.0,72.0,11.0,5.0,6.0,38.0,2.0,11.0,0.0,27.0,7.0,3.0,3.0,1.0,4.0,6.0,0.0,5.0,1.0
LOCAL-031224,Lousado,29,78,880.0,633.0,67.0,222.0,14.0,9.0,13.0,88.0,2.0,23.0,1.0,61.0,11.0,3.0,5.0,3.0,3.0,13.0,5.0,8.0,1.0
LOCAL-031225,Mogege,21,37,475.0,354.0,28.0,95.0,4.0,1.0,1.0,29.0,1.0,6.0,0.0,37.0,3.0,1.0,2.0,3.0,1.0,9.0,5.0,3.0,1.0
LOCAL-031227,Nine,31,65,650.0,580.0,56.0,105.0,13.0,2.0,12.0,50.0,1.0,12.0,3.0,45.0,1.0,1.0,2.0,5.0,3.0,11.0,4.0,5.0,1.0
LOCAL-031239,Oliveira (Santa Maria),39,67,747.0,567.0,43.0,244.0,11.0,2.0,7.0,85.0,0.0,12.0,3.0,48.0,8.0,5.0,5.0,6.0,1.0,8.0,5.0,2.0,4.0
LOCAL-031242,Oliveira (São Mateus),22,45,619.0,358.0,45.0,137.0,3.0,2.0,8.0,90.0,0.0,6.0,1.0,31.0,5.0,3.0,1.0,0.0,0.0,6.0,2.0,2.0,1.0
LOCAL-031230,Pedome,18,33,518.0,311.0,32.0,97.0,3.0,8.0,1.0,90.0,0.0,3.0,0.0,33.0,4.0,2.0,0.0,1.0,0.0,7.0,2.0,1.0,0.0
LOCAL-031232,Pousada de Saramagos,16,44,546.0,388.0,33.0,117.0,11.0,5.0,5.0,55.0,0.0,7.0,1.0,48.0,5.0,5.0,3.0,1.0,1.0,8.0,2.0,0.0,1.0
LOCAL-031233,Requião,21,55,622.0,727.0,86.0,147.0,6.0,14.0,12.0,52.0,0.0,8.0,0.0,48.0,8.0,1.0,7.0,5.0,3.0,11.0,3.0,0.0,1.0
LOCAL-031234,Riba de Ave,23,46,773.0,611.0,41.0,185.0,2.0,9.0,20.0,174.0,1.0,11.0,1.0,47.0,7.0,2.0,2.0,3.0,3.0,9.0,2.0,2.0,0.0
LOCAL-031235,Ribeirão,111,138,1603.0,2042.0,164.0,358.0,19.0,13.0,14.0,111.0,2.0,39.0,3.0,114.0,20.0,8.0,6.0,5.0,2.0,34.0,8.0,11.0,4.0
LOCAL-031257,Ruivães e Novais,25,42,827.0,427.0,55.0,131.0,7.0,6.0,9.0,61.0,0.0,11.0,0.0,57.0,8.0,5.0,0.0,1.0,3.0,9.0,3.0,5.0,1.0
LOCAL-031258,Seide,25,30,287.0,388.0,37.0,72.0,11.0,5.0,6.0,17.0,0.0,9.0,2.0,16.0,2.0,0.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0
