,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
LOCAL-110114,Vila Verde dos Francos,8,12,267.0,103.0,24.0,44.0,7.0,6.0,4.0,23.0,1.0,1.0,0.0,7.0,6.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,
LOCAL-111513,Águas Livres,306,301,7527.0,2947.0,450.0,1753.0,319.0,163.0,245.0,1509.0,32.0,210.0,31.0,714.0,149.0,54.0,22.0,95.0,21.0,62.0,43.0,46.0,
LOCAL-111512,Alfragide,109,215,3040.0,2233.0,395.0,835.0,179.0,129.0,219.0,561.0,13.0,242.0,13.0,357.0,67.0,22.0,12.0,25.0,3.0,26.0,26.0,29.0,
LOCAL-111514,Encosta do Sol,224,229,5321.0,1894.0,333.0,1234.0,271.0,106.0,194.0,1113.0,30.0,122.0,25.0,509.0,116.0,37.0,19.0,57.0,25.0,50.0,30.0,31.0,
LOCAL-111515,Falagueira-Venda Nova,155,176,4304.0,1516.0,228.0,1131.0,213.0,87.0,171.0,1066.0,21.0,116.0,8.0,448.0,101.0,17.0,11.0,54.0,10.0,39.0,18.0,28.0,
LOCAL-111516,Mina de Água,326,387,8089.0,3419.0,531.0,2171.0,528.0,206.0,307.0,1742.0,52.0,231.0,21.0,991.0,205.0,45.0,35.0,113.0,27.0,84.0,58.0,41.0,
LOCAL-111517,Venteira,198,239,5049.0,2378.0,403.0,1340.0,245.0,139.0,240.0,1135.0,27.0,192.0,14.0,596.0,97.0,30.0,20.0,80.0,22.0,53.0,33.0,31.0,
LOCAL-110201,Arranhó,34,28,517.0,391.0,33.0,85.0,12.0,15.0,7.0,62.0,0.0,5.0,0.0,32.0,4.0,2.0,5.0,2.0,1.0,1.0,4.0,3.0,
LOCAL-110202,Arruda dos Vinhos,77,140,1728.0,1014.0,200.0,389.0,85.0,66.0,66.0,331.0,13.0,94.0,8.0,165.0,32.0,11.0,12.0,17.0,2.0,20.0,9.0,5.0,
LOCAL-110203,Cardosas,5,11,146.0,108.0,9.0,42.0,9.0,1.0,1.0,42.0,1.0,6.0,0.0,9.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,
LOCAL-110204,São Tiago dos Velhos,12,13,321.0,137.0,16.0,62.0,9.0,4.0,6.0,47.0,2.0,11.0,1.0,27.0,5.0,4.0,1.0,3.0,1.0,4.0,2.0,0.0,
LOCAL-110301,Alcoentre,35,19,522.0,231.0,37.0,128.0,44.0,4.0,10.0,86.0,3.0,7.0,1.0,33.0,14.0,4.0,17.0,4.0,5.0,6.0,1.0,2.0,
LOCAL-110302,Aveiras de Baixo,14,22,250.0,104.0,18.0,76.0,22.0,7.0,9.0,79.0,1.0,16.0,1.0,35.0,14.0,2.0,2.0,1.0,3.0,3.0,0.0,1.0,
LOCAL-110303,Aveiras de Cima,42,48,814.0,233.0,37.0,259.0,32.0,15.0,14.0,266.0,5.0,11.0,1.0,61.0,38.0,6.0,34.0,4.0,4.0,11.0,7.0,4.0,
LOCAL-110304,Azambuja,86,91,1370.0,664.0,143.0,452.0,86.0,45.0,35.0,381.0,9.0,64.0,6.0,99.0,42.0,6.0,39.0,23.0,2.0,23.0,2.0,12.0,
LOCAL-110310,"Manique do Intendente, V.N.de S.Pedro e Maçussa",12,28,432.0,183.0,9.0,137.0,21.0,6.0,29.0,154.0,2.0,9.0,1.0,27.0,22.0,9.0,12.0,7.0,1.0,2.0,2.0,4.0,
LOCAL-110306,Vale do Paraíso,11,15,244.0,46.0,7.0,59.0,8.0,1.0,5.0,57.0,2.0,0.0,1.0,12.0,9.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,
LOCAL-110307,Vila Nova da Rainha,5,6,184.0,56.0,8.0,52.0,24.0,4.0,3.0,51.0,1.0,5.0,0.0,14.0,4.0,0.0,5.0,1.0,3.0,3.0,2.0,1.0,
LOCAL-110401,Alguber,8,10,196.0,122.0,9.0,34.0,2.0,4.0,2.0,20.0,0.0,5.0,0.0,10.0,2.0,0.0,4.0,2.0,0.0,4.0,0.0,1.0,
LOCAL-110411,Cadaval e Pêro Moniz,34,60,576.0,476.0,51.0,131.0,33.0,9.0,21.0,72.0,4.0,10.0,3.0,33.0,15.0,4.0,11.0,2.0,1.0,10.0,1.0,4.0,
LOCAL-110412,Lamas e Cercal,33,45,785.0,441.0,46.0,126.0,28.0,16.0,11.0,66.0,7.0,6.0,2.0,40.0,19.0,3.0,21.0,3.0,3.0,13.0,3.0,7.0,
