,territoryName,null_votes,blank_votes,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
LOCAL-010422,Cabreiros e Albergaria da Serra,1,2,66.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,,,,,
LOCAL-010423,Canelas e Espiunca,8,8,168.0,,25.0,17.0,15.0,0.0,6.0,13.0,1.0,5.0,2.0,0.0,0.0,3.0,1.0,259.0,23.0,0.0,,,,,
LOCAL-010407,Chave,9,2,265.0,,60.0,33.0,14.0,1.0,6.0,11.0,6.0,4.0,2.0,1.0,2.0,2.0,0.0,342.0,19.0,1.0,,,,,
LOCAL-010424,Covelo de Paivó e Janarde,1,2,41.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,3.0,0.0,,,,,
LOCAL-010409,Escariz,17,15,433.0,,68.0,36.0,42.0,1.0,8.0,11.0,5.0,7.0,0.0,2.0,0.0,4.0,0.0,497.0,45.0,0.0,,,,,
LOCAL-010411,Fermedo,6,6,261.0,,27.0,21.0,17.0,0.0,4.0,7.0,1.0,6.0,0.0,0.0,1.0,2.0,1.0,333.0,20.0,0.0,,,,,
LOCAL-010413,Mansores,4,5,196.0,,33.0,14.0,21.0,1.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,321.0,24.0,0.0,,,,,
LOCAL-010414,Moldes,6,10,305.0,,13.0,14.0,15.0,0.0,1.0,8.0,4.0,12.0,0.0,0.0,0.0,2.0,0.0,271.0,15.0,0.0,,,,,
LOCAL-010415,Rossas,13,11,273.0,,44.0,20.0,19.0,1.0,3.0,9.0,2.0,12.0,1.0,1.0,1.0,5.0,0.0,374.0,24.0,1.0,,,,,
LOCAL-010416,Santa Eulália,19,23,481.0,,59.0,22.0,31.0,1.0,7.0,2.0,3.0,18.0,0.0,1.0,0.0,5.0,1.0,535.0,38.0,1.0,,,,,
LOCAL-010417,São Miguel do Mato,5,5,136.0,,7.0,6.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,159.0,9.0,0.0,,,,,
LOCAL-010418,Tropeço,7,7,219.0,,41.0,13.0,20.0,0.0,5.0,5.0,4.0,4.0,4.0,2.0,1.0,2.0,0.0,264.0,20.0,0.0,,,,,
LOCAL-010419,Urrô,2,6,173.0,,23.0,14.0,16.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,270.0,18.0,0.0,,,,,
LOCAL-010420,Várzea,2,7,108.0,,16.0,5.0,8.0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,139.0,7.0,0.0,,,,,
LOCAL-010501,Aradas,36,62,1605.0,,284.0,271.0,362.0,8.0,83.0,10.0,65.0,79.0,1.0,5.0,8.0,17.0,4.0,1783.0,112.0,3.0,,,,,
LOCAL-010502,Cacia,44,56,1437.0,,259.0,233.0,135.0,4.0,58.0,10.0,38.0,75.0,2.0,3.0,2.0,14.0,4.0,965.0,58.0,1.0,,,,,
LOCAL-010515,Eixo e Eirol,34,47,1181.0,,255.0,150.0,138.0,6.0,67.0,16.0,18.0,61.0,2.0,5.0,1.0,9.0,5.0,867.0,80.0,1.0,,,,,
