,territoryName,null_votes,blank_votes,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
LOCAL-091138,Vila Boa,0,2,57.0,,23.0,3.0,4.0,,3.0,0.0,0.0,2.0,0.0,0.0,1.0,,0.0,29.0,2.0,,0.0,,,,
LOCAL-091139,Vila do Touro,0,1,44.0,,7.0,3.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,39.0,0.0,,0.0,,,,
LOCAL-091201,Alvoco da Serra,7,2,127.0,,10.0,4.0,3.0,,0.0,0.0,1.0,32.0,0.0,1.0,0.0,,2.0,51.0,5.0,,0.0,,,,
LOCAL-091230,Carragozela e Várzea de Meruge,0,5,204.0,,41.0,9.0,6.0,,0.0,2.0,1.0,5.0,0.0,0.0,0.0,,0.0,83.0,5.0,,0.0,,,,
LOCAL-091205,Girabolhos,8,0,78.0,,8.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,48.0,1.0,,0.0,,,,
LOCAL-091207,Loriga,2,9,346.0,,24.0,8.0,3.0,,2.0,2.0,5.0,15.0,3.0,0.0,0.0,,1.0,98.0,2.0,,0.0,,,,
LOCAL-091208,Paranhos,13,9,247.0,,48.0,10.0,9.0,,5.0,3.0,1.0,8.0,1.0,0.0,0.0,,3.0,255.0,12.0,,0.0,,,,
LOCAL-091209,Pinhanços,11,8,113.0,,25.0,10.0,8.0,,0.0,1.0,5.0,5.0,0.0,1.0,0.0,,1.0,136.0,7.0,,0.0,,,,
LOCAL-091210,Sabugueiro,5,6,116.0,,17.0,3.0,7.0,,2.0,2.0,0.0,13.0,0.0,0.0,0.0,,0.0,35.0,5.0,,1.0,,,,
LOCAL-091231,Sameice e Santa Eulália,4,1,176.0,,32.0,3.0,4.0,,2.0,2.0,2.0,4.0,0.0,0.0,0.0,,0.0,119.0,3.0,,0.0,,,,
LOCAL-091212,Sandomil,6,2,224.0,,27.0,13.0,3.0,,3.0,1.0,0.0,9.0,2.0,0.0,0.0,,1.0,128.0,13.0,,0.0,,,,
LOCAL-091213,Santa Comba,5,3,188.0,,34.0,17.0,8.0,,1.0,1.0,2.0,6.0,0.0,0.0,0.0,,0.0,111.0,2.0,,0.0,,,,
LOCAL-091232,Santa Marinha e São Martinho,12,9,449.0,,42.0,16.0,19.0,,3.0,4.0,7.0,12.0,0.0,1.0,1.0,,1.0,199.0,9.0,,0.0,,,,
LOCAL-091216,Santiago,9,8,260.0,,67.0,10.0,18.0,,6.0,1.0,2.0,14.0,0.0,0.0,2.0,,0.0,246.0,15.0,,2.0,,,,
LOCAL-091219,Sazes da Beira,1,1,61.0,,8.0,2.0,0.0,,2.0,0.0,0.0,2.0,1.0,0.0,0.0,,0.0,39.0,2.0,,1.0,,,,
LOCAL-091233,"Seia, São Romão e Lapa dos Dinheiros",37,35,2158.0,,297.0,164.0,101.0,,50.0,15.0,38.0,185.0,7.0,2.0,6.0,,8.0,1204.0,61.0,,0.0,,,,
LOCAL-091221,Teixeira,3,3,52.0,,6.0,4.0,1.0,,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,39.0,0.0,,0.0,,,,
LOCAL-091234,Torrozelo e Folhadosa,7,4,226.0,,30.0,15.0,9.0,,4.0,3.0,0.0,13.0,0.0,0.0,0.0,,0.0,75.0,12.0,,0.0,,,,
LOCAL-091235,Tourais e Lajes,10,4,305.0,,78.0,18.0,16.0,,8.0,0.0,0.0,4.0,1.0,2.0,2.0,,3.0,343.0,17.0,,0.0,,,,
LOCAL-091224,Travancinha,5,1,77.0,,18.0,7.0,1.0,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,,0.0,104.0,6.0,,0.0,,,,
LOCAL-091225,Valezim,2,1,98.0,,6.0,6.0,4.0,,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,43.0,4.0,,0.0,,,,
LOCAL-091236,Vide e Cabeça,9,3,169.0,,18.0,5.0,2.0,,2.0,2.0,1.0,18.0,0.0,0.0,1.0,,0.0,49.0,7.0,,0.0,,,,
LOCAL-091228,Vila Cova à Coelheira,2,3,145.0,,22.0,6.0,2.0,,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,0.0,24.0,2.0,,0.0,,,,
LOCAL-091301,Aldeia Nova,0,4,54.0,,7.0,3.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,59.0,6.0,,1.0,,,,
LOCAL-091303,Castanheira,0,0,47.0,,7.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,36.0,4.0,,0.0,,,,
LOCAL-091304,Cogula,4,2,45.0,,12.0,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,10.0,,0.0,,,,
LOCAL-091305,Cótimos,0,0,46.0,,4.0,3.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,22.0,0.0,,0.0,,,,
LOCAL-091307,Fiães,1,2,57.0,,7.0,3.0,1.0,,1.0,3.0,1.0,1.0,1.0,0.0,0.0,,0.0,41.0,3.0,,0.0,,,,
LOCAL-091330,Freches e Torres,1,3,113.0,,17.0,4.0,1.0,,0.0,4.0,0.0,3.0,0.0,0.0,0.0,,0.0,100.0,5.0,,0.0,,,,
LOCAL-091309,Granja,0,0,32.0,,5.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,36.0,1.0,,0.0,,,,
LOCAL-091310,Guilheiro,1,1,48.0,,7.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,25.0,2.0,,0.0,,,,
LOCAL-091311,Moimentinha,3,2,63.0,,5.0,4.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,17.0,2.0,,0.0,,,,
LOCAL-091312,Moreira de Rei,3,0,115.0,,4.0,6.0,1.0,,2.0,4.0,1.0,1.0,0.0,1.0,0.0,,1.0,54.0,4.0,,1.0,,,,
LOCAL-091313,Palhais,1,1,46.0,,4.0,2.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,3.0,,0.0,,,,
LOCAL-091314,Póvoa do Concelho,1,2,58.0,,17.0,1.0,2.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,67.0,2.0,,1.0,,,,
LOCAL-091315,Reboleiro,2,2,42.0,,5.0,4.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,54.0,3.0,,0.0,,,,
LOCAL-091316,Rio de Mel,2,3,62.0,,7.0,3.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,62.0,5.0,,0.0,,,,
LOCAL-091321,Tamanhos,0,0,54.0,,8.0,1.0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,,0.0,39.0,2.0,,0.0,,,,
LOCAL-091331,"Torre do Terrenho, Sebadelhe da Serra e Terrenho",2,3,80.0,,21.0,0.0,2.0,,0.0,1.0,1.0,5.0,0.0,0.0,0.0,,2.0,97.0,13.0,,0.0,,,,
LOCAL-091332,Trancoso (São Pedro e Santa Maria) e Souto Maior,14,26,705.0,,124.0,54.0,46.0,,6.0,11.0,14.0,21.0,0.0,1.0,2.0,,3.0,608.0,38.0,,0.0,,,,
LOCAL-091325,Valdujo,1,0,52.0,,8.0,1.0,0.0,,1.0,0.0,0.0,4.0,1.0,0.0,0.0,,0.0,25.0,4.0,,1.0,,,,
LOCAL-091333,Vale do Seixo e Vila Garcia,2,0,69.0,,10.0,2.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,33.0,4.0,,1.0,,,,
LOCAL-091334,Vila Franca das Naves e Feital,4,3,216.0,,31.0,15.0,12.0,,1.0,2.0,2.0,6.0,0.0,1.0,1.0,,1.0,183.0,13.0,,1.0,,,,
LOCAL-091335,Vilares e Carnicães,2,2,93.0,,9.0,7.0,0.0,,0.0,0.0,1.0,9.0,0.0,0.0,0.0,,0.0,53.0,4.0,,0.0,,,,
LOCAL-091401,Almendra,2,1,71.0,,8.0,1.0,1.0,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,60.0,1.0,,0.0,,,,
LOCAL-091402,Castelo Melhor,1,0,54.0,,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,41.0,1.0,,0.0,,,,
LOCAL-091403,Cedovim,4,2,77.0,,16.0,2.0,3.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,52.0,4.0,,0.0,,,,
LOCAL-091404,Chãs,0,1,62.0,,3.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,57.0,1.0,,0.0,,,,
LOCAL-091405,Custóias,0,2,43.0,,3.0,2.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,44.0,6.0,,0.0,,,,
LOCAL-091418,Freixo de Numão,2,4,107.0,,14.0,4.0,1.0,,6.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,110.0,3.0,,1.0,,,,
LOCAL-091407,Horta,3,1,50.0,,4.0,3.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,33.0,0.0,,0.0,,,,
LOCAL-091410,Muxagata,4,4,64.0,,24.0,1.0,1.0,,0.0,1.0,0.0,2.0,0.0,1.0,1.0,,0.0,63.0,5.0,,0.0,,,,
LOCAL-091411,Numão,2,0,58.0,,5.0,3.0,0.0,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,55.0,5.0,,0.0,,,,
LOCAL-091412,Santa Comba,0,0,28.0,,0.0,1.0,0.0,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,65.0,2.0,,0.0,,,,
LOCAL-091414,Sebadelhe,1,2,74.0,,7.0,5.0,1.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,46.0,4.0,,0.0,,,,
LOCAL-091415,Seixas,1,0,43.0,,12.0,1.0,1.0,,1.0,1.0,2.0,3.0,0.0,0.0,0.0,,2.0,64.0,1.0,,1.0,,,,
LOCAL-091416,Touça,0,3,45.0,,7.0,1.0,2.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,47.0,0.0,,0.0,,,,
LOCAL-091419,Vila Nova de Foz Côa,18,9,713.0,,106.0,39.0,46.0,,11.0,7.0,9.0,36.0,3.0,1.0,2.0,,2.0,553.0,27.0,,1.0,,,,
LOCAL-100121,Alcobaça e Vestiaria,40,43,1265.0,,243.0,154.0,199.0,9.0,53.0,19.0,47.0,135.0,9.0,2.0,4.0,,2.0,1234.0,84.0,,0.0,,11.0,,
LOCAL-100102,Alfeizerão,18,27,586.0,,143.0,63.0,86.0,6.0,14.0,6.0,13.0,28.0,0.0,2.0,0.0,,0.0,631.0,35.0,,1.0,,1.0,,
LOCAL-100120,Aljubarrota,40,61,1157.0,,288.0,130.0,165.0,7.0,38.0,15.0,34.0,97.0,2.0,2.0,4.0,,3.0,988.0,83.0,,3.0,,9.0,,
LOCAL-100104,Bárrio,9,16,377.0,,43.0,27.0,35.0,3.0,8.0,6.0,4.0,40.0,1.0,0.0,1.0,,2.0,218.0,15.0,,0.0,,4.0,,
LOCAL-100105,Benedita,81,67,1241.0,,423.0,181.0,349.0,22.0,52.0,17.0,54.0,66.0,1.0,8.0,6.0,,0.0,2181.0,121.0,,2.0,,5.0,,
LOCAL-100106,Cela,25,26,563.0,,122.0,65.0,58.0,0.0,13.0,15.0,11.0,38.0,3.0,3.0,1.0,,3.0,549.0,30.0,,0.0,,10.0,,
LOCAL-100122,"Coz, Alpedriz e Montes",23,30,768.0,,110.0,75.0,49.0,7.0,24.0,11.0,12.0,63.0,1.0,0.0,1.0,,1.0,370.0,24.0,,2.0,,4.0,,
LOCAL-100108,Évora de Alcobaça,38,38,794.0,,198.0,73.0,84.0,7.0,25.0,18.0,13.0,41.0,2.0,1.0,6.0,,3.0,1005.0,66.0,,1.0,,4.0,,
LOCAL-100109,Maiorga,13,11,490.0,,78.0,50.0,44.0,0.0,6.0,5.0,19.0,58.0,0.0,0.0,0.0,,0.0,195.0,19.0,,0.0,,3.0,,
LOCAL-100123,Pataias e Martingança,40,51,1633.0,,271.0,169.0,171.0,9.0,53.0,18.0,31.0,156.0,2.0,5.0,2.0,,3.0,889.0,42.0,,1.0,,22.0,,
LOCAL-100112,São Martinho do Porto,20,14,549.0,,118.0,63.0,85.0,2.0,17.0,6.0,16.0,35.0,2.0,2.0,0.0,,1.0,489.0,31.0,,1.0,,9.0,,
LOCAL-100114,Turquel,62,30,559.0,,296.0,83.0,129.0,5.0,23.0,17.0,19.0,20.0,1.0,2.0,5.0,,2.0,1132.0,60.0,,2.0,,6.0,,
LOCAL-100116,Vimeiro,11,16,200.0,,114.0,11.0,32.0,4.0,16.0,1.0,1.0,14.0,1.0,1.0,0.0,,1.0,555.0,39.0,,0.0,,2.0,,
LOCAL-100201,Almoster,4,1,83.0,,17.0,7.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,188.0,4.0,,1.0,,1.0,,
LOCAL-100208,Alvaiázere,21,11,269.0,,106.0,24.0,27.0,0.0,7.0,3.0,8.0,7.0,0.0,1.0,1.0,,0.0,467.0,20.0,,1.0,,0.0,,
LOCAL-100204,Maçãs de Dona Maria,7,6,236.0,,68.0,11.0,13.0,0.0,3.0,4.0,5.0,9.0,0.0,0.0,1.0,,0.0,447.0,29.0,,0.0,,0.0,,
LOCAL-100205,Pelmá,6,1,64.0,,65.0,4.0,8.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,175.0,6.0,,0.0,,1.0,,
LOCAL-100209,Pussos São Pedro,9,9,263.0,,112.0,29.0,16.0,2.0,6.0,4.0,6.0,7.0,1.0,0.0,0.0,,0.0,406.0,21.0,,0.0,,0.0,,
LOCAL-100301,Alvorge,5,10,241.0,,33.0,12.0,12.0,0.0,3.0,1.0,3.0,9.0,2.0,0.0,0.0,,0.0,200.0,8.0,,2.0,,0.0,,
LOCAL-100309,Ansião,32,30,767.0,,156.0,61.0,41.0,0.0,16.0,12.0,12.0,48.0,0.0,1.0,2.0,,0.0,740.0,37.0,,1.0,,1.0,,
LOCAL-100303,Avelar,17,17,460.0,,68.0,34.0,38.0,3.0,8.0,4.0,11.0,12.0,0.0,2.0,2.0,,0.0,377.0,10.0,,2.0,,1.0,,
LOCAL-100304,Chão de Couce,10,9,318.0,,56.0,21.0,31.0,1.0,7.0,4.0,3.0,18.0,1.0,0.0,1.0,,1.0,448.0,18.0,,1.0,,0.0,,
LOCAL-100306,Pousaflores,7,4,182.0,,36.0,11.0,3.0,3.0,2.0,0.0,3.0,6.0,1.0,0.0,0.0,,0.0,221.0,13.0,,0.0,,0.0,,
LOCAL-100307,Santiago da Guarda,10,9,445.0,,127.0,21.0,41.0,2.0,7.0,11.0,14.0,11.0,1.0,1.0,1.0,,0.0,772.0,22.0,,1.0,,0.0,,
LOCAL-100401,Batalha,46,83,1455.0,,395.0,185.0,365.0,24.0,63.0,29.0,37.0,64.0,2.0,4.0,4.0,,9.0,1702.0,141.0,,4.0,,5.0,,
LOCAL-100404,Golpilheira,4,13,284.0,,62.0,34.0,48.0,0.0,14.0,3.0,10.0,9.0,1.0,0.0,3.0,,0.0,371.0,34.0,,0.0,,3.0,,
LOCAL-100402,Reguengo do Fetal,17,16,389.0,,75.0,33.0,69.0,0.0,17.0,7.0,8.0,9.0,1.0,2.0,0.0,,2.0,469.0,33.0,,2.0,,1.0,,
LOCAL-100403,São Mamede,32,29,409.0,,217.0,35.0,80.0,10.0,20.0,6.0,10.0,18.0,3.0,1.0,3.0,,2.0,1035.0,79.0,,1.0,,6.0,,
LOCAL-100506,Bombarral e Vale Covo,36,54,1431.0,,245.0,159.0,137.0,11.0,62.0,9.0,41.0,157.0,0.0,5.0,6.0,,1.0,910.0,115.0,,0.0,,1.0,,
LOCAL-100502,Carvalhal,10,15,573.0,,85.0,43.0,51.0,3.0,6.0,9.0,6.0,26.0,1.0,2.0,1.0,,0.0,380.0,57.0,,1.0,,3.0,,
LOCAL-100505,Pó,4,6,176.0,,45.0,8.0,18.0,0.0,1.0,1.0,3.0,18.0,0.0,0.0,0.0,,0.0,160.0,11.0,,1.0,,0.0,,
LOCAL-100503,Roliça,6,15,471.0,,121.0,49.0,64.0,7.0,8.0,6.0,6.0,82.0,1.0,1.0,0.0,,0.0,397.0,50.0,,0.0,,1.0,,
LOCAL-100601,A dos Francos,12,12,293.0,,86.0,21.0,22.0,2.0,9.0,4.0,1.0,19.0,0.0,0.0,0.0,,0.0,276.0,21.0,,0.0,,1.0,,
LOCAL-100602,Alvorninha,15,18,471.0,,107.0,47.0,55.0,4.0,14.0,12.0,13.0,32.0,0.0,2.0,1.0,,3.0,518.0,28.0,,1.0,,1.0,,
LOCAL-100618,Caldas da Rainha - Santo Onofre e Serra do Bouro,43,85,2136.0,,487.0,368.0,288.0,22.0,101.0,37.0,87.0,210.0,7.0,10.0,6.0,,10.0,1267.0,86.0,,3.0,,6.0,,
LOCAL-100604,Carvalhal Benfeito,12,6,138.0,,47.0,13.0,18.0,1.0,8.0,8.0,7.0,5.0,1.0,0.0,0.0,,0.0,294.0,26.0,,0.0,,1.0,,
LOCAL-100606,Foz do Arelho,8,10,268.0,,52.0,33.0,51.0,3.0,14.0,2.0,10.0,25.0,0.0,2.0,1.0,,2.0,207.0,14.0,,0.0,,2.0,,
LOCAL-100607,Landal,10,8,149.0,,49.0,11.0,19.0,3.0,3.0,1.0,6.0,3.0,0.0,2.0,0.0,,0.0,239.0,15.0,,1.0,,0.0,,
LOCAL-100608,Nadadouro,11,22,335.0,,89.0,64.0,75.0,8.0,13.0,0.0,13.0,24.0,1.0,3.0,0.0,,0.0,347.0,23.0,,0.0,,2.0,,
LOCAL-100617,"Nossa Senhora do Pópulo, Coto e São Gregório",77,120,3291.0,,631.0,568.0,614.0,29.0,158.0,46.0,165.0,305.0,10.0,8.0,9.0,,6.0,2867.0,184.0,,6.0,,18.0,,
LOCAL-100609,Salir de Matos,20,23,449.0,,125.0,46.0,59.0,6.0,9.0,5.0,12.0,28.0,0.0,1.0,4.0,,1.0,415.0,26.0,,0.0,,1.0,,
LOCAL-100611,Santa Catarina,20,18,412.0,,133.0,61.0,63.0,3.0,16.0,7.0,15.0,24.0,3.0,2.0,1.0,,1.0,729.0,59.0,,1.0,,0.0,,
LOCAL-100619,Tornada e Salir do Porto,19,32,948.0,,150.0,122.0,86.0,4.0,26.0,7.0,23.0,69.0,2.0,1.0,3.0,,2.0,595.0,28.0,,1.0,,5.0,,
LOCAL-100615,Vidais,5,8,178.0,,44.0,19.0,15.0,1.0,8.0,5.0,1.0,10.0,0.0,2.0,0.0,,0.0,245.0,11.0,,0.0,,1.0,,
LOCAL-100703,Castanheira de Pêra e Coentral,20,22,861.0,,57.0,48.0,51.0,0.0,13.0,7.0,5.0,22.0,0.0,1.0,3.0,,1.0,411.0,21.0,,1.0,,1.0,,
LOCAL-100801,Aguda,11,1,198.0,,36.0,21.0,10.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,1.0,,0.0,220.0,16.0,,0.0,,1.0,,
LOCAL-100802,Arega,4,5,173.0,,37.0,11.0,16.0,0.0,6.0,3.0,0.0,3.0,0.0,1.0,2.0,,0.0,169.0,7.0,,0.0,,0.0,,
LOCAL-100803,Campelo,2,0,43.0,,8.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,,0.0,30.0,0.0,,0.0,,0.0,,
LOCAL-100806,Figueiró dos Vinhos e Bairradas,30,25,788.0,,109.0,55.0,62.0,3.0,18.0,4.0,14.0,36.0,1.0,2.0,5.0,,1.0,722.0,26.0,,0.0,,2.0,,
LOCAL-100901,Amor,31,64,939.0,,177.0,98.0,139.0,8.0,42.0,18.0,28.0,65.0,1.0,3.0,5.0,,1.0,679.0,63.0,,3.0,,3.0,,
LOCAL-100902,Arrabal,10,20,436.0,,137.0,42.0,99.0,4.0,12.0,11.0,9.0,25.0,2.0,1.0,8.0,,0.0,665.0,60.0,,0.0,,2.0,,
LOCAL-100925,Bajouca,15,30,214.0,,59.0,40.0,63.0,2.0,12.0,4.0,17.0,15.0,2.0,3.0,0.0,,0.0,733.0,38.0,,0.0,,0.0,,
LOCAL-100926,Bidoeira de Cima,19,22,237.0,,91.0,24.0,65.0,1.0,8.0,10.0,3.0,8.0,1.0,0.0,1.0,,1.0,826.0,18.0,,1.0,,2.0,,
LOCAL-100907,Caranguejeira,27,40,613.0,,178.0,76.0,123.0,5.0,28.0,8.0,17.0,14.0,1.0,2.0,1.0,,4.0,1470.0,62.0,,1.0,,4.0,,
LOCAL-100909,Coimbrão,17,22,355.0,,49.0,43.0,35.0,2.0,19.0,10.0,9.0,15.0,1.0,1.0,4.0,,0.0,270.0,16.0,,1.0,,1.0,,
LOCAL-100932,Colmeias e Memória,24,27,545.0,,172.0,52.0,101.0,4.0,27.0,12.0,27.0,12.0,0.0,4.0,8.0,,4.0,905.0,33.0,,0.0,,2.0,,
LOCAL-100933,"Leiria, Pousos, Barreira e Cortes",168,260,6240.0,,1157.0,993.0,1397.0,75.0,306.0,59.0,312.0,427.0,10.0,16.0,31.0,,21.0,6579.0,355.0,,12.0,,29.0,,
LOCAL-100913,Maceira,67,94,2073.0,,440.0,256.0,254.0,7.0,70.0,34.0,37.0,128.0,6.0,7.0,11.0,,7.0,1489.0,110.0,,9.0,,9.0,,
LOCAL-100934,Marrazes e Barosa,89,208,4449.0,,1008.0,711.0,911.0,47.0,228.0,51.0,196.0,297.0,10.0,12.0,34.0,,7.0,3630.0,190.0,,8.0,,24.0,,
LOCAL-100915,Milagres,27,33,477.0,,130.0,57.0,87.0,7.0,7.0,5.0,12.0,15.0,0.0,2.0,8.0,,1.0,703.0,41.0,,1.0,,9.0,,
LOCAL-100935,Monte Real e Carvide,49,69,1114.0,,232.0,131.0,172.0,13.0,43.0,21.0,22.0,61.0,6.0,5.0,10.0,,1.0,903.0,72.0,,3.0,,5.0,,
LOCAL-100936,Monte Redondo e Carreira,40,68,948.0,,207.0,101.0,97.0,18.0,43.0,25.0,20.0,64.0,5.0,6.0,2.0,,2.0,1059.0,84.0,,3.0,,4.0,,
LOCAL-100937,Parceiros e Azoia,40,65,1510.0,,292.0,220.0,316.0,25.0,65.0,28.0,53.0,97.0,6.0,9.0,5.0,,3.0,1491.0,57.0,,3.0,,5.0,,
LOCAL-100921,Regueira de Pontes,22,36,454.0,,106.0,45.0,56.0,0.0,11.0,3.0,8.0,15.0,1.0,1.0,3.0,,1.0,417.0,40.0,,1.0,,0.0,,
LOCAL-100938,Santa Catarina da Serra e Chainça,31,38,581.0,,235.0,52.0,136.0,11.0,33.0,10.0,21.0,17.0,2.0,3.0,2.0,,1.0,1669.0,96.0,,2.0,,2.0,,
LOCAL-100939,Santa Eufémia e Boa Vista,29,37,537.0,,182.0,80.0,135.0,8.0,16.0,10.0,29.0,33.0,1.0,1.0,2.0,,0.0,1146.0,81.0,,1.0,,2.0,,
LOCAL-100940,Souto da Carpalhosa e Ortigosa,41,67,838.0,,241.0,122.0,201.0,7.0,28.0,20.0,23.0,41.0,2.0,4.0,6.0,,2.0,1463.0,158.0,,3.0,,4.0,,
LOCAL-101001,Marinha Grande,134,253,6716.0,,1154.0,1058.0,875.0,55.0,268.0,67.0,190.0,1604.0,9.0,29.0,34.0,,11.0,2951.0,155.0,,12.0,,34.0,,
LOCAL-101003,Moita,11,7,398.0,,51.0,38.0,24.0,7.0,10.0,3.0,9.0,84.0,1.0,0.0,0.0,,0.0,88.0,4.0,,2.0,,2.0,,
LOCAL-101002,Vieira de Leiria,31,59,1175.0,,217.0,194.0,133.0,12.0,51.0,15.0,30.0,187.0,0.0,2.0,8.0,,3.0,534.0,34.0,,1.0,,2.0,,
LOCAL-101101,Famalicão,9,12,361.0,,86.0,52.0,32.0,3.0,8.0,7.0,4.0,16.0,0.0,1.0,4.0,,2.0,257.0,8.0,,0.0,,2.0,,
LOCAL-101102,Nazaré,42,63,2119.0,,363.0,281.0,207.0,21.0,48.0,17.0,42.0,226.0,2.0,4.0,4.0,,3.0,1125.0,38.0,,0.0,,2.0,,
LOCAL-101103,Valado dos Frades,9,19,597.0,,96.0,93.0,53.0,3.0,9.0,11.0,10.0,176.0,2.0,3.0,0.0,,3.0,270.0,18.0,,0.0,,4.0,,
LOCAL-101201,A dos Negros,9,13,356.0,,60.0,43.0,24.0,1.0,14.0,2.0,7.0,25.0,0.0,1.0,0.0,,0.0,220.0,12.0,,0.0,,0.0,,
LOCAL-101202,Amoreira,8,5,190.0,,32.0,31.0,33.0,2.0,8.0,2.0,6.0,16.0,1.0,3.0,1.0,,0.0,131.0,4.0,,1.0,,0.0,,
LOCAL-101208,Gaeiras,9,22,598.0,,95.0,69.0,65.0,5.0,21.0,4.0,21.0,49.0,2.0,1.0,1.0,,3.0,363.0,21.0,,0.0,,1.0,,
LOCAL-101203,Olho Marinho,9,15,233.0,,62.0,15.0,27.0,3.0,8.0,5.0,5.0,55.0,0.0,1.0,0.0,,1.0,173.0,7.0,,0.0,,0.0,,
LOCAL-101210,"Santa Maria, São Pedro e Sobral da Lagoa",10,24,788.0,,168.0,88.0,80.0,11.0,29.0,9.0,17.0,61.0,1.0,1.0,0.0,,1.0,582.0,30.0,,0.0,,1.0,,
LOCAL-101209,Usseira,7,4,117.0,,48.0,21.0,17.0,0.0,6.0,0.0,1.0,8.0,0.0,0.0,0.0,,0.0,217.0,11.0,,0.0,,0.0,,
LOCAL-101207,Vau,7,0,171.0,,43.0,17.0,22.0,1.0,4.0,3.0,13.0,11.0,0.0,0.0,0.0,,0.0,184.0,7.0,,0.0,,0.0,,
LOCAL-101301,Graça,9,1,104.0,,23.0,7.0,3.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,,0.0,150.0,6.0,,0.0,,0.0,,
LOCAL-101302,Pedrógão Grande,18,16,449.0,,78.0,29.0,32.0,1.0,0.0,7.0,2.0,21.0,1.0,1.0,0.0,,0.0,464.0,27.0,,0.0,,1.0,,
LOCAL-101303,Vila Facaia,9,0,115.0,,5.0,7.0,2.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,146.0,4.0,,1.0,,0.0,,
LOCAL-101402,Atouguia da Baleia,53,61,1757.0,,519.0,218.0,183.0,27.0,52.0,28.0,51.0,163.0,4.0,1.0,3.0,,3.0,1386.0,85.0,,2.0,,3.0,,
LOCAL-101406,Ferrel,9,22,578.0,,107.0,53.0,81.0,10.0,18.0,6.0,15.0,56.0,1.0,4.0,2.0,,2.0,321.0,8.0,,1.0,,3.0,,
LOCAL-101407,Peniche,51,74,2728.0,,533.0,278.0,216.0,36.0,103.0,55.0,57.0,394.0,5.0,3.0,9.0,,5.0,1210.0,57.0,,2.0,,8.0,,
LOCAL-101405,Serra d'El-Rei,12,17,290.0,,59.0,49.0,20.0,3.0,11.0,11.0,4.0,55.0,0.0,0.0,1.0,,0.0,164.0,12.0,,0.0,,2.0,,
LOCAL-101501,Abiul,10,18,222.0,,96.0,22.0,44.0,4.0,2.0,6.0,8.0,18.0,2.0,0.0,0.0,,0.0,558.0,27.0,,0.0,,3.0,,
LOCAL-101503,Almagreira,16,30,441.0,,105.0,43.0,40.0,3.0,14.0,4.0,9.0,13.0,1.0,5.0,3.0,,2.0,597.0,29.0,,1.0,,0.0,,
